,plant_name,capacity_mw,start,plant_name_x,net_generation_gwh,usage,2021_cost_per_unit,2022_cost_per_unit,2022_units,own_IPP,own_Joint venture,own_Public,own_RENTAL & SIPP,fuel_GAS,fuel_HFO,fuel_HSD,fuel_HYDRO,fuel_IMPORT,fuel_SOLAR,fuel_WIND
0,Sharishabari 3 MW Engreen Solar Power Plant,3.0,2017.0,Sharishabari 3 MW Engreen Solar Power Plant,3.9442,0.15,16.11,16.42,3997213,True,False,False,False,False,False,False,False,False,True,False
1,Sympa Solar Power 8 MW,8.0,2019.0,Sympa Solar Power 8 MW,11.269,0.16,11.04,11.26,11994460,True,False,False,False,False,False,False,False,False,True,False
2,Kaptai Solar,7.0,2019.0,Kaptai Solar,9.7123,0.159,5.79,1556,"9)20,827",False,False,True,False,False,False,False,False,False,True,False
3,Fenchugonj 50 MW Rental (Energy Prima),,2009.0,Fenchugonj 50 MW Rental (Energy Prima),219.7947,0.86,3.27,3.03,48318547,False,False,False,True,True,False,False,False,False,False,False
5,Fenchugonj 51 MW Rental (15 Yrs) (Barakatullah),51.0,2009.0,Fenchugonj 51 MW Rental (15 Yrs) (Barakatullah),353.0717,0.79,3.12,,,False,False,False,True,True,False,False,False,False,False,False
7,Kumargao 10 MW Desh Combridge (15 Yrs),10.0,2009.0,Kumargao 10 MW Desh Combridge (15 Yrs),61.4628,0.7,3.84,3.62,75345178,False,False,False,True,True,False,False,False,False,False,False
8,Amnura 50MW Sinha Power,50.0,2012.0,Amnura 50MW Sinha Power,34.312,0.08,6.66,13.15,20839351,False,False,False,True,False,True,False,False,False,False,False
9,Shahjahanullah Power Gen Co. Ltd.,,2013.0,Shahjahanullah Power Gen Co. Ltd.,102.6552,0.47,3.45,3.45,119664201,False,False,False,True,True,False,False,False,False,False,False
10,Ashuganj 50 MW PP,53.0,1986.0,Ashuganj 50 MW PP,184.7955,0.483,2.38,2.14,194969682,False,False,True,False,True,False,False,False,False,False,False
11,20 MW Solar Teknaf,20.0,2018.0,20 MW Solar Teknaf,33.4382,0.19,11.8,12.04,37555078,True,False,False,False,False,False,False,False,False,True,False
12,Barabkundu SIPP 22 MW (Regent Power),22.0,2009.0,Barabkundu SIPP 22 MW (Regent Power),157.7652,0.82,2.94,3.09,147081880,False,False,False,True,True,False,False,False,False,False,False
13,Tangail SIPP (22 MW) (Doreen Power Ltd.),22.0,2008.0,Tangail SIPP (22 MW) (Doreen Power Ltd.),141.1988,0.73,2.86,2.96,156351263,False,False,False,True,True,False,False,False,False,False,False
14,Feni SIPP (22 MW) (Doreen Power Ltd.),22.0,2009.0,Feni SIPP (22 MW) (Doreen Power Ltd.),160.0048,0.83,2.87,2.9,161137638,False,False,False,True,True,False,False,False,False,False,False
15,Sinha Peoples Energy Ltd.Katpatti 52.5 MW Exp,51.0,2015.0,Sinha Peoples Energy Ltd.Katpatti 52.5 MW Exp,21.3606,0.05,38.65,19.58,25438560,True,False,False,False,False,True,False,False,False,False,False
16,Manikganj 35MW Spectra Solar Park Ltd.,35.0,2021.0,Manikganj 35MW Spectra Solar Park Ltd.,29.1477,0.1,10.36,11.96,52473009,True,False,False,False,False,False,False,False,False,True,False
17,Bhola 32 MW (Venture Energy Resources Ltd.),33.0,2009.0,Bhola 32 MW (Venture Energy Resources Ltd.),199.538,0.69,3.99,3.55,189564498,False,False,False,True,True,False,False,False,False,False,False
18,Bogura RPP (24MW) 15 yrs,22.0,2008.0,Bogura RPP (24MW) 15 yrs,167.4902,0.87,,4.09,167469576,False,False,False,True,True,False,False,False,False,False,False
19,"Baghabari 71 MW /GT
Baghabari 100 MW /GT",71.0,1991.0,"Baghabari 71 MW /GT
Baghabari 100 MW /GT",57.6144,0.18,9.01,1652,51893680,False,False,True,False,True,False,False,False,False,False,False
20,Power Import (Bheramara-Bharampur Phase-1),500.0,2018.0,Power Import (Bheramara-Bharampur Phase-1),1730.726,,7.21,-,-,False,False,False,False,False,False,False,False,True,False,False
21,Faridpur 50 MW Peaking PP,54.0,2011.0,Faridpur 50 MW Peaking PP,15.5429,0.037,46.96,20.93,42848640,False,False,True,False,False,True,False,False,False,False,False
22,Jangalia 33 MW (Summit Purbanchol Po. Co. Ltd.),33.0,2009.0,Jangalia 33 MW (Summit Purbanchol Po. Co. Ltd.),258.2576,0.89,3.65,4.06,232729909,False,False,False,True,True,False,False,False,False,False,False
23,210 MW Shiddirganj TPP,210.0,2019.0,210 MW Shiddirganj TPP,-1.287,,,,"11,05iro8)",False,False,True,False,True,False,False,False,False,False,False
26,Siddhirganj 2x120 MW GTPP,210.0,2019.0,Siddhirganj 2x120 MW GTPP,563.9633,0.318,4.78,14.05,116096664,False,False,True,False,True,False,False,False,False,False,False
29,Siddhirganj 335 MW CCPP,335.0,2019.0,Siddhirganj 335 MW CCPP,1042.3959,0.373,3.52,4.2,1419204804,False,False,True,False,True,False,False,False,False,False,False
32,Midland Power Co. Ashuganj 51 MW,51.0,2013.0,Midland Power Co. Ashuganj 51 MW,294.124,0.66,3.16,2.75,370760585,True,False,False,False,True,False,False,False,False,False,False
33,Ashugonj  55 MW 3Yrs Rental (Precision Energy),55.0,2010.0,Ashugonj  55 MW 3Yrs Rental (Precision Energy),208.8067,0.43,5.23,4.55,276586308,False,False,False,True,True,False,False,False,False,False,False
34,50 MW HDFC Solar Power Plant,50.0,2020.0,50 MW HDFC Solar Power Plant,64.8588,0.15,14.38,14.7,92430240,True,False,False,False,False,False,False,False,False,True,False
35,Chandpur 150 MW CCPP,163.0,2012.0,Chandpur 150 MW CCPP,596.5169,0.441,3.55,223,726768536,False,False,True,False,True,False,False,False,False,False,False
36,Sahzibazar 86 MW RPP (15 yrs),86.0,2009.0,Sahzibazar 86 MW RPP (15 yrs),605.4847,0.8,3.37,3.54,619933776,False,False,False,True,True,False,False,False,False,False,False
37,Tangail Polly Power 22 MW TPPGCl,22.0,2020.0,Tangail Polly Power 22 MW TPPGCl,74.9804,0.39,12.43,15.83,149421480,True,False,False,False,False,True,False,False,False,False,False
38,United Payra PP Patuakhali Imp,150.0,2021.0,United Payra PP Patuakhali Imp,33.4596,0.03,32.23,32.53,76919436,True,False,False,False,False,True,False,False,False,False,False
39, Ashuganj TPP Unit-3,150.0,1987.0, Ashuganj TPP Unit-3,222.9391,0.209,5.23,7.24,347574918,False,False,True,False,True,False,False,False,False,False,False
42, Ashuganj TPP Unit-4,150.0,1987.0, Ashuganj TPP Unit-4,279.6746,0.261,5.23,7.24,347574918,False,False,True,False,True,False,False,False,False,False,False
45,Ashuganj 225 MW CCPP,221.0,1987.0,Ashuganj 225 MW CCPP,1574.3307,0.828,3.26,3.32,1579703499,False,False,True,False,True,False,False,False,False,False,False
48, Ashuganj TPP Unit-5,150.0,1988.0, Ashuganj TPP Unit-5,215.2755,0.202,5.23,7.24,347574918,False,False,True,False,True,False,False,False,False,False,False
49,Modhumoti 105 MW NWPGCL,105.0,2019.0,Modhumoti 105 MW NWPGCL,12.4258,0.015,127.97,28.45,98005392,False,False,True,False,False,True,False,False,False,False,False
50,Kushiara power Co. Ltd (163MW)CCPP Fenchuganj,163.0,2017.0,Kushiara power Co. Ltd (163MW)CCPP Fenchuganj,1065.5715,0.75,2.99,3.07,1038532925,True,False,False,False,True,False,False,False,False,False,False
51,Shiddirganj  Dutchbangla 100 MW,100.0,2011.0,Shiddirganj  Dutchbangla 100 MW,366.3626,0.42,12.53,20.19,161026042,False,False,False,True,False,True,False,False,False,False,False
52,Haripur Power Ltd.,360.0,2001.0,Haripur Power Ltd.,2315.379,0.73,1.68,1.7,1919174000,True,False,False,False,True,False,False,False,False,False,False
53,Bhairab Power 54.5 MW,54.0,2021.0,Bhairab Power 54.5 MW,70.3824,0.15,12.48,16.95,198278640,True,False,False,False,False,True,False,False,False,False,False
54,Baraka Patenga,50.0,2014.0,Baraka Patenga,198.9216,0.45,11.88,15.55,232871760,True,False,False,False,False,True,False,False,False,False,False
55,Noapara100MW (Bangla Trac),100.0,2018.0,Noapara100MW (Bangla Trac),122.2197,0.14,31.38,36.28,102068064,True,False,False,False,False,False,True,False,False,False,False
56,Julda Acorn Infra.service Ltd.100MW,100.0,2018.0,Julda Acorn Infra.service Ltd.100MW,189.9422,0.22,16.49,18.44,222839580,False,False,False,True,False,True,False,False,False,False,False
57,Katakhali (Northern) Peaking,50.0,2012.0,Katakhali (Northern) Peaking,21.6708,0.05,10.5,16.48,297602757,False,False,False,True,False,True,False,False,False,False,False
58,Haripur 412 MW CCPP,412.0,1987.0,Haripur 412 MW CCPP,1817.5804,0.527,3.01,2.5,1981733402,False,False,True,False,True,False,False,False,False,False,False
60,Paramount Baghabari BanglaTrack,200.0,2019.0,Paramount Baghabari BanglaTrack,22.1198,0.01,180.67,55.39,104571634,True,False,False,False,False,False,True,False,False,False,False
62,Ashuganj 450 MW CCPP (North),360.0,2017.0,Ashuganj 450 MW CCPP (North),2088.9237,0.694,2.82,2.95,2017615091,False,False,True,False,True,False,False,False,False,False,False
64,Ashuganj 450 MW CCPP (South),360.0,2017.0,Ashuganj 450 MW CCPP (South),1955.573,0.646,3.87,3.76,2135112449,False,False,True,False,True,False,False,False,False,False,False
66,Kamalaghat Banco Energy Generation,54.0,2018.0,Kamalaghat Banco Energy Generation,309.349,0.65,11.47,15.83,376975008,True,False,False,False,False,True,False,False,False,False,False
68,Daudkandi 200MW(Bangla Trac),200.0,2018.0,Daudkandi 200MW(Bangla Trac),40.5404,0.02,105.72,42.33,159163968,True,False,False,False,False,False,True,False,False,False,False
69,ECPV Chattogram Limited 108 MW,108.0,2019.0,ECPV Chattogram Limited 108 MW,190.2545,0.2,13.5,17.58,407101368,True,False,False,False,False,True,False,False,False,False,False
70,Digital  Power & Associates Gagnagar,102.0,2014.0,Digital  Power & Associates Gagnagar,325.564,0.36,11.48,16.96,440988642,True,False,False,False,False,True,False,False,False,False,False
71,Orion Power Sonargaon Ltd.,104.0,2020.0,Orion Power Sonargaon Ltd.,451.8127,0.5,11.28,13.19,638940480,True,False,False,False,False,True,False,False,False,False,False
72,Juldha Acorn 100 MW Unit-3,100.0,2020.0,Juldha Acorn 100 MW Unit-3,610.5613,0.7,9.93,15.09,586327094,True,False,False,False,False,True,False,False,False,False,False
73,HF 113 MW Power Limited,113.0,2019.0,HF 113 MW Power Limited,551.0603,0.56,10.8,15.41,577999758,True,False,False,False,False,True,False,False,False,False,False
75,Lobonchora Orion Power Rupsha Ltd. 105 MW,105.0,2018.0,Lobonchora Orion Power Rupsha Ltd. 105 MW,361.1674,0.004,12.7,16.73,540193296,True,False,False,False,False,True,False,False,False,False,False
76,Kodda 150 MW PP,149.0,2018.0,Kodda 150 MW PP,387.4975,0.308,15.1,19.84,480557237,False,False,True,False,False,True,False,False,False,False,False
77,Anlima Chattogram 116 MW,116.0,2021.0,Anlima Chattogram 116 MW,125.1359,0.12,14.3,15.18,755550326,True,False,False,False,False,True,False,False,False,False,False
