,plant,start,fuel_type,own,capacity,end,plant_shorts,plant_phonetic,search_name
0,Shikalbaha 150 MW Power Plant,"18 August, 2010",GAS,BPDB,150.0,,,,Shikalbaha 150 MW Power Plant GAS BPDB
1,Siddhirganj 2x120 MW GTPP,"14 October, 2010",GAS,EGCB,105.0,,siddhirganj x gtpp,S362,Siddhirganj 2x120 MW GTPP GAS EGCB
2,Ashuganj Rental Power Plant,"7 April, 2010",GAS,Rental (BPDB),55.0,,ashuganj,A225,Ashuganj Rental Power Plant GAS Rental (BPDB)
3,Shikalbaha 55 MW Rental Power Plant,"6 May, 2010",HFO,Rental (BPDB),55.0,,,,Shikalbaha 55 MW Rental Power Plant HFO Rental (BPDB)
4,"Thakurgaon, 3 Years Rental PP","2 August, 2010",HFO,Rental (BPDB),50.0,,thakurgaon,T262,"Thakurgaon, 3 Years Rental PP HFO Rental (BPDB)"
5,Ghorashal quick rental PP,"23 August, 2010",GAS,Rental (BPDB),145.0,,ghorashal,G624,Ghorashal quick rental PP GAS Rental (BPDB)
6,Khulna quick rental PP,"10 August, 2010",DIESEL,Rental (BPDB),55.0,,khulna,K450,Khulna quick rental PP DIESEL Rental (BPDB)
7,"Pagla, Narayaganj quick rental PP","24 November, 2010",DIESEL,Rental (BPDB),50.0,,pagla narayaganj,P245,"Pagla, Narayaganj quick rental PP DIESEL Rental (BPDB)"
8,Bheramara 3 Years Rental PP,"31 December, 2010",DIESEL,Rental (BPDB),110.0,,bheramara,B656,Bheramara 3 Years Rental PP DIESEL Rental (BPDB)
9,Ashuganj 50 MW Power Plant,"30 April, 2011",GAS,APSCL,53.0,,ashuganj,A225,Ashuganj 50 MW Power Plant GAS APSCL
10,Baghabari 50 MW Peaking PP,"29 August, 2011",HFO,BPDB,52.0,,baghabari peaking,B216,Baghabari 50 MW Peaking PP HFO BPDB
11,Fenchuganj 90 MW CCPP,"26 October, 2011",GAS,BPDB,104.0,,fenchuganj,F522,Fenchuganj 90 MW CCPP GAS BPDB
12,Siddhirganj 2x120 MW Peaking PP,"31 December, 2011",GAS,EGCB,105.0,,siddhirganj x peaking,S362,Siddhirganj 2x120 MW Peaking PP GAS EGCB
13,Siddhirganj quick rental PP,"17 February, 2011",DIESEL,Rental (BPDB),100.0,,siddhirganj,S362,Siddhirganj quick rental PP DIESEL Rental (BPDB)
14,B Baria quick rental PP,"06 March, 2011",GAS,Rental (BPDB),70.0,,b baria,B600,B Baria quick rental PP GAS Rental (BPDB)
15,Modanganj quick rental PP,"01 April, 2011",HFO,Rental (BPDB),102.0,,modanganj,M352,Modanganj quick rental PP HFO Rental (BPDB)
16,Meghnaghat quick rental PP,"08 May, 2011",HFO,Rental (BPDB),100.0,,meghnaghat,M252,Meghnaghat quick rental PP HFO Rental (BPDB)
17,Ghorashal quick rental PP,"27 May, 2011",GAS,Rental (BPDB),78.0,,ghorashal,G624,Ghorashal quick rental PP GAS Rental (BPDB)
18,Noapara quick rental PP,"28 May, 2011",HFO,Rental (BPDB),40.0,,noapara,N160,Noapara quick rental PP HFO Rental (BPDB)
19,Ashuganj quick rental PP,"31May, 2011",GAS,Rental (BPDB),80.0,,ashuganj,A225,Ashuganj quick rental PP GAS Rental (BPDB)
20,Khulna quick rental PP,"01 June, 2011",HFO,Rental (BPDB),115.0,,khulna,K450,Khulna quick rental PP HFO Rental (BPDB)
21,Ashuganj quick rental PP,"22 June, 2011",GAS,Rental (BPDB),53.0,,ashuganj,A225,Ashuganj quick rental PP GAS Rental (BPDB)
22,Siddhirganj quick rental PP,"21 July, 2011",HFO,Rental (BPDB),100.0,,siddhirganj,S362,Siddhirganj quick rental PP HFO Rental (BPDB)
23,"Noapara, Jashore (5 Years Rental) PP","26 August, 2011",HFO,Rental (BPDB),105.0,,noapara jashore,N162,"Noapara, Jashore (5 Years Rental) PP HFO Rental (BPDB)"
24,Bogura 3 Years quick rental PP,"13 November, 2011",GAS,Rental (BPDB),20.0,,bogura,B260,Bogura 3 Years quick rental PP GAS Rental (BPDB)
25,Sylhet 150 MW Power Plant,"28 March, 2012",GAS,BPDB,142.0,,sylhet,S430,Sylhet 150 MW Power Plant GAS BPDB
26,Gazipur 50 MW PP,"7 July, 2012",GAS/HFO,RPCL,52.0,,gazipur,G216,Gazipur 50 MW PP GAS/HFO RPCL
