,plant_name,plant_name_x,2022_usage,capacity_mw,start,net_generation_gwh,usage,2021_cost_per_unit,2022_cost_per_unit,own_IPP,own_Joint venture,own_Public,own_RENTAL & SIPP,fuel_GAS,fuel_HFO,fuel_HSD,fuel_HYDRO,fuel_SOLAR,fuel_WIND
7,Kumargao 10 MW Desh Combridge (15 Yrs),Kumargao 10 MW Desh Combridge (15 Yrs),86,10,2009,61.4628,0.7,3.84,3.62,False,False,False,True,True,False,False,False,False,False
64,Bogura 20 RPP (3 Yrs) Energy Prima,Bogura 20 RPP (3 Yrs) Energy Prima,0,20,2011,30.3411,0.17,3.47,,False,False,False,True,True,False,False,False,False,False
12,Barabkundu SIPP 22 MW (Regent Power),Barabkundu SIPP 22 MW (Regent Power),76,22,2009,157.7652,0.82,2.94,3.09,False,False,False,True,True,False,False,False,False,False
13,Tangail SIPP (22 MW) (Doreen Power Ltd.),Tangail SIPP (22 MW) (Doreen Power Ltd.),81,22,2008,141.1988,0.73,2.86,2.96,False,False,False,True,True,False,False,False,False,False
14,Feni SIPP (22 MW) (Doreen Power Ltd.),Feni SIPP (22 MW) (Doreen Power Ltd.),84,22,2009,160.0048,0.83,2.87,2.9,False,False,False,True,True,False,False,False,False,False
18,Bogura RPP (24MW) 15 yrs,Bogura RPP (24MW) 15 yrs,87,22,2008,167.4902,0.87,,4.09,False,False,False,True,True,False,False,False,False,False
17,Bhola 32 MW (Venture Energy Resources Ltd.),Bhola 32 MW (Venture Energy Resources Ltd.),66,33,2009,199.538,0.69,3.99,3.55,False,False,False,True,True,False,False,False,False,False
22,Jangalia 33 MW (Summit Purbanchol Po. Co. Ltd.),Jangalia 33 MW (Summit Purbanchol Po. Co. Ltd.),81,33,2009,258.2576,0.89,3.65,4.06,False,False,False,True,True,False,False,False,False,False
8,Amnura 50MW Sinha Power,Amnura 50MW Sinha Power,5,50,2012,34.312,0.08,6.66,13.15,False,False,False,True,False,True,False,False,False,False
57,Katakhali (Northern) Peaking,Katakhali (Northern) Peaking,15.8,50,2012,21.6708,0.05,10.5,16.48,False,False,False,True,False,True,False,False,False,False
