,plant_name,2022_usage,capacity_mw,start,net_generation_gwh,usage,2021_cost_per_unit,2022_cost_per_unit,own_IPP,own_Joint venture,own_Public,own_RENTAL & SIPP,fuel_GAS,fuel_HFO,fuel_HSD,fuel_HYDRO,fuel_SOLAR,fuel_WIND,location,district_code,2022_units
98,Bibiyana - South  383 MW CCPP,75,383,2021,1351.3021,0.406,1.95,1.85,False,False,True,False,True,False,False,False,False,False,"Bibiyana, Habiganj",habiganj,2656.31741913468
99,Shahjibazar 330 MW CCPP,39.3,330,2016,1505.2982,0.546,2.84,4.84,False,False,True,False,True,False,False,False,False,False,"Shahjibazar, Habiganj",habiganj,1139.53649039124
86,"Sangu, Dohazari-kaliaish 100 MW PPP",15.2,102,2011,203.2578,0.234,13.4,19.84,False,False,True,False,False,True,False,False,False,False,"Satkania, Chattogram",chattogram,133.440047113936
2,Khanjahan Ali Noapara  40 MW,9,40,2011,92.2828,0.29,14.77,19,False,False,False,True,False,True,False,False,False,False,"Noapara, Jessore",jessore,28.2293010465193
50,Ghorashal 78 MW QRPP (3 Yrs Max Power),0,78,2011,102.4493,0.35,7.92,,False,False,False,True,True,False,False,False,False,False,"Palash, Narsingdi",narsingdi,0
96, Ghorasal TPP Unit-5,30.9,210,1989,963.6894,0.62,3.13,2.92,False,False,True,False,True,False,False,False,False,False,"Palash, Narsingdi",narsingdi,569.045595535966
56, Ghorasal Repowered CCPP Unit-4,29.3,210,2022,280.5226,0.197,3.13,3.39,False,False,True,False,True,False,False,False,False,False,"Palash, Narsingdi",narsingdi,539.362202695953
95, Ghorasal Repowered CCPP Unit-3,0.3,260,2021,47.1487,0.023,3.13,681,False,False,True,False,True,False,False,False,False,False,"Palash, Narsingdi",narsingdi,2.66957859808376
57, Ghorasal TPP Unit-6,0,0,2022,-2.206,0,3.13,,False,False,True,False,True,False,False,False,False,False,"Palash, Narsingdi",narsingdi,0
97,Ghorasal 365 MW CCPP Unit-7,49.9,365,2018,1315.1245,0.434,3.35,3.18,False,False,True,False,True,False,False,False,False,False,"Palash, Narsingdi",narsingdi,1601.58980115414
84,Bera 70 MW Peaking RE,9.9,71,2011,31.2907,0.052,32.75,22,False,False,True,False,False,True,False,False,False,False,"Bera, Pabna",pabna,58.4578272858456
55,Baghabari 50 MW Peaking RE,23.8,52,1991,85.4892,0.191,14.52,19,False,False,True,False,False,True,False,False,False,False,"Baghabari, Sirajgonj",sirajgonj,106.693340650867
19,"Baghabari 71 MW /GT
Baghabari 100 MW /GT",8.6,71,1991,57.6144,0.18,9.01,16.52,False,False,True,False,True,False,False,False,False,False,"Baghabari, Rajshahi",rajshahi,50.2280714510552
2,Kaptai Solar,15.2,7,2019,9.7123,0.159,5.79,15.56,False,False,True,False,False,False,False,False,True,False,"Kaptai, Chittagong",chattogram,6.47671991909256
60,Shikalbaha 225 MW PS,38,225,2017,1014.6721,0.536,2.98,8.52,False,False,True,False,True,False,False,False,False,False,"Sikalbaha, Chittagong ",chattogram,387.243606865068
104,Bhola 225 MW CCPP,39.8,194,2015,315.2895,0.201,6.49,5.38,False,False,True,False,True,False,False,False,False,False,"Kutba, Burhanuddin Upazila, Bhola ",bhola,678.168992614581
87,Rauzan 210 MW /ST (1st),27.8,210,1997,403.4491,0.297,5.2,4.83,False,False,True,False,True,False,False,False,False,False," Raozan, Chattogram",chattogram,511.53402190844
89,Rauzan 210 MW /ST (2nd),13.4,210,1997,0,0,5.2,4.83,False,False,True,False,True,False,False,False,False,False," Raozan, Chattogram",chattogram,244.383486348322
0,Kutubdia 900KW Wind PP,1,0.9,2008,0.6083,,6.18,4.22,False,False,True,False,False,False,False,False,False,True,"Kutubdia, Cox Bazar",cox,
35,Chandpur 150 MW CCPP,54,163,2012,596.5169,0.441,3.55,2.83,False,False,True,False,True,False,False,False,False,False,Chandpur,chandpur,774.44658491261
54,Sylhet 225 MW CCPP,64,231,2020,1075.5239,0.548,2.95,2.23,False,False,True,False,True,False,False,False,False,False,Sylhet,sylhet,
