,plant_name,2022_usage,capacity_mw,start,net_generation_gwh,usage,2021_cost_per_unit,2022_cost_per_unit,own_IPP,own_Joint venture,own_Public,own_RENTAL & SIPP,fuel_GAS,fuel_HFO,fuel_HSD,fuel_HYDRO,fuel_SOLAR,fuel_WIND,2022_units
0,Kumargao 10 MW Desh Combridge (15 Yrs),86.0,10,2009.0,61.4628,0.7,3.84,3.62,False,False,False,True,True,False,False,False,False,False,78.96187707936178
1,Bogura 20 RPP (3 Yrs) Energy Prima,0.0,20,2011.0,30.3411,0.17,3.47,,False,False,False,True,True,False,False,False,False,False,0.0
2,Barabkundu SIPP 22 MW (Regent Power),76.0,22,2009.0,157.7652,0.82,2.94,3.09,False,False,False,True,True,False,False,False,False,False,149.4775200227581
3,Tangail SIPP (22 MW) (Doreen Power Ltd.),81.0,22,2008.0,141.1988,0.73,2.86,2.96,False,False,False,True,True,False,False,False,False,False,159.5888653325967
4,Feni SIPP (22 MW) (Doreen Power Ltd.),84.0,22,2009.0,160.0048,0.83,2.87,2.9,False,False,False,True,True,False,False,False,False,False,165.6556725184999
5,Bogura RPP (24MW) 15 yrs,87.0,22,2008.0,167.4902,0.87,,4.09,False,False,False,True,True,False,False,False,False,False,171.72247970440307
6,Bhola 32 MW (Venture Energy Resources Ltd.),66.0,33,2009.0,199.538,0.69,3.99,3.55,False,False,False,True,True,False,False,False,False,False,193.08819196780118
7,Jangalia 33 MW (Summit Purbanchol Po. Co. Ltd.),81.0,33,2009.0,258.2576,0.89,3.65,4.06,False,False,False,True,True,False,False,False,False,False,237.92981029838987
8,Amnura 50MW Sinha Power,5.0,50,2012.0,34.312,0.08,6.66,13.15,False,False,False,True,False,True,False,False,False,False,18.205880478505367
9,Katakhali (Northern) Peaking,15.8,50,2012.0,21.6708,0.05,10.5,16.48,False,False,False,True,False,True,False,False,False,False,66.63482827554114
10,Fenchugonj 51 MW Rental (15 Yrs) (Barakatullah),78.0,51,2009.0,353.0717,0.79,3.12,,False,False,False,True,True,False,False,False,False,False,352.407824154128
11,Ashugonj  55 MW 3Yrs Rental (Precision Energy),57.0,55,2010.0,208.8067,0.43,5.23,4.55,False,False,False,True,True,False,False,False,False,False,276.4408472176013
12,Sahzibazar 86 MW RPP (15 yrs),82.0,86,2009.0,605.4847,0.8,3.37,3.54,False,False,False,True,True,False,False,False,False,False,623.0401794905043
