,plant_name,capacity_mw,start,plant_name_x,net_generation_gwh,usage,2021_cost_per_unit,2022_cost_per_unit,2022_units,own_IPP,own_Joint venture,own_Public,own_RENTAL & SIPP,fuel_GAS,fuel_HFO,fuel_HSD,fuel_HYDRO,fuel_IMPORT,fuel_SOLAR,fuel_WIND,2022_usage,cost_increase,age,diff,log_usage_squared,log_age_squared,log_capacity_mw_squared,log_net_generation_gwh_squared,log_2021_cost_per_unit_squared,log_2022_cost_per_unit_squared,log_2022_usage_squared
0,Sharishabari 3 MW Engreen Solar Power Plant,1.0986122886681098,2017.0,Sharishabari 3 MW Engreen Solar Power Plant,1.3722461453938315,-1.8971199848858813,2.779440197188883,2.7985001040242823,3997213.0,True,False,False,False,False,False,False,False,False,True,False,-1.5449609530060062,0.3100000000000023,1.791759469228055,0.3100000000000023,-3.7942399697717626,3.58351893845611,2.1972245773362196,2.744492290787663,5.558880394377766,5.597000208048565,-3.0899219060120124
1,Sympa Solar Power 8 MW,2.0794415416798357,2019.0,Sympa Solar Power 8 MW,2.4220555929702123,-1.8325814637483102,2.401525040848949,2.421256622711544,11994460.0,True,False,False,False,False,False,False,False,False,True,False,-1.4663079628160618,0.22000000000000064,1.3862943611198906,0.22000000000000064,-3.6651629274966204,2.772588722239781,4.1588830833596715,4.844111185940425,4.803050081697898,4.842513245423088,-2.9326159256321236
2,Kaptai Solar,1.9459101490553132,2019.0,Kaptai Solar,2.2733931234611555,-1.8388510767619055,1.7561322915849038,7.349873704738337,0.0,False,False,True,False,False,False,False,False,False,True,False,0.0,1550.21,1.3862943611198906,1550.21,-3.677702153523811,2.772588722239781,3.8918202981106265,4.546786246922311,3.5122645831698076,14.699747409476673,0.0
3,Fenchugonj 50 MW Rental (Energy Prima),0.0,2009.0,Fenchugonj 50 MW Rental (Energy Prima),5.392693928848956,-0.15082288973458366,1.184789984909162,1.1085626195212777,48318547.0,False,False,False,True,True,False,False,False,False,False,False,0.0,-0.2400000000000002,2.6390573296152584,-0.2400000000000002,-0.3016457794691674,5.278114659230517,0.0,10.785387857697913,2.369579969818324,2.2171252390425553,0.0
5,Fenchugonj 51 MW Rental (15 Yrs) (Barakatullah),3.9318256327243257,2009.0,Fenchugonj 51 MW Rental (15 Yrs) (Barakatullah),5.8666711524553135,-0.23572233352106983,1.1378330018213911,0.0,0.0,False,False,False,True,True,False,False,False,False,False,False,0.0,0.0,2.6390573296152584,0.0,-0.4714446670421396,5.278114659230517,7.8636512654486515,11.733342304910627,2.2756660036427823,0.0,0.0
7,Kumargao 10 MW Desh Combridge (15 Yrs),2.302585092994046,2009.0,Kumargao 10 MW Desh Combridge (15 Yrs),4.118432113751161,-0.35667494393873245,1.3454723665996355,1.2864740258376797,75345178.0,False,False,False,True,True,False,False,False,False,False,False,-0.6546815871577215,-0.21999999999999975,2.6390573296152584,-0.21999999999999975,-0.7133498878774649,5.278114659230517,4.605170185988092,8.236864227502322,2.690944733199271,2.5729480516753593,-1.309363174315443
8,Amnura 50MW Sinha Power,3.912023005428146,2012.0,Amnura 50MW Sinha Power,3.5354951472145792,-2.5257286443082556,1.8961194845522977,2.5764217586237734,20839351.0,False,False,False,True,False,True,False,False,False,False,False,-1.7015805865128952,6.49,2.3978952727983707,6.49,-5.051457288616511,4.795790545596741,7.824046010856292,7.0709902944291585,3.7922389691045955,5.152843517247547,-3.40316117302579
9,Shahjahanullah Power Gen Co. Ltd.,0.0,2013.0,Shahjahanullah Power Gen Co. Ltd.,4.631375799756173,-0.7550225842780328,1.2383742310432684,1.2383742310432684,119664201.0,False,False,False,True,True,False,False,False,False,False,False,0.0,0.0,2.302585092994046,0.0,-1.5100451685560656,4.605170185988092,0.0,9.262751599512345,2.4767484620865368,2.4767484620865368,0.0
10,Ashuganj 50 MW PP,3.970291913552122,1986.0,Ashuganj 50 MW PP,5.219249808261751,-0.7277386253295643,0.8671004876833833,0.7608058290337602,194969682.0,False,False,True,False,True,False,False,False,False,False,False,-1.0497344967726476,-0.23999999999999977,3.6109179126442243,-0.23999999999999977,-1.4554772506591287,7.221835825288449,7.940583827104244,10.438499616523503,1.7342009753667667,1.5216116580675203,-2.0994689935452953
11,20 MW Solar Teknaf,2.995732273553991,2018.0,20 MW Solar Teknaf,3.5096989590165393,-1.6607312068216509,2.468099531471619,2.488234439880675,37555078.0,True,False,False,False,False,False,False,False,False,True,False,-1.3679450974793177,0.23999999999999844,1.6094379124341003,0.23999999999999844,-3.3214624136433017,3.2188758248682006,5.991464547107982,7.0193979180330786,4.936199062943238,4.97646887976135,-2.7358901949586354
12,Barabkundu SIPP 22 MW (Regent Power),3.091042453358316,2009.0,Barabkundu SIPP 22 MW (Regent Power),5.061107851771554,-0.19845093872383832,1.0784095813505903,1.128171090909654,147081880.0,False,False,False,True,True,False,False,False,False,False,False,-0.7015785408237715,0.1499999999999999,2.6390573296152584,0.1499999999999999,-0.3969018774476767,5.278114659230517,6.182084906716632,10.122215703543109,2.1568191627011806,2.256342181819308,-1.403157081647543
13,Tangail SIPP (22 MW) (Doreen Power Ltd.),3.091042453358316,2008.0,Tangail SIPP (22 MW) (Doreen Power Ltd.),4.950168826439459,-0.31471074483970024,1.0508216248317612,1.085189268335969,156351263.0,False,False,False,True,True,False,False,False,False,False,False,-0.6599024173725532,0.10000000000000009,2.70805020110221,0.10000000000000009,-0.6294214896794006,5.41610040220442,6.182084906716632,9.900337652878918,2.1016432496635225,2.170378536671938,-1.3198048347451063
14,Feni SIPP (22 MW) (Doreen Power Ltd.),3.091042453358316,2009.0,Feni SIPP (22 MW) (Doreen Power Ltd.),5.075203814783836,-0.18632957819149348,1.0543120297715298,1.0647107369924282,161137638.0,False,False,False,True,True,False,False,False,False,False,False,-0.6390437047964985,0.029999999999999805,2.6390573296152584,0.029999999999999805,-0.37265915638298697,5.278114659230517,6.182084906716632,10.150407629567672,2.1086240595430596,2.1294214739848565,-1.278087409592997
15,Sinha Peoples Energy Ltd.Katpatti 52.5 MW Exp,3.9318256327243257,2015.0,Sinha Peoples Energy Ltd.Katpatti 52.5 MW Exp,3.061548103585121,-2.995732273553991,3.654546775033431,2.9745086371023644,25438560.0,True,False,False,False,False,True,False,False,False,False,False,-1.6787120720627398,-19.07,2.0794415416798357,-19.07,-5.991464547107982,4.1588830833596715,7.8636512654486515,6.123096207170242,7.309093550066862,5.949017274204729,-3.3574241441254795
16,Manikganj 35MW Spectra Solar Park Ltd.,3.5553480614894135,2021.0,Manikganj 35MW Spectra Solar Park Ltd.,3.372376007453711,-2.3025850929940455,2.337952236831337,2.481567748522486,52473009.0,True,False,False,False,False,False,False,False,False,True,False,-1.4383743521935135,1.6000000000000014,0.6931471805599453,1.6000000000000014,-4.605170185988091,1.3862943611198906,7.110696122978827,6.744752014907422,4.675904473662674,4.963135497044972,-2.876748704387027
17,Bhola 32 MW (Venture Energy Resources Ltd.),3.4965075614664802,2009.0,Bhola 32 MW (Venture Energy Resources Ltd.),5.296004694382108,-0.37106368139083207,1.3837912309017721,1.2669476034873244,189564498.0,False,False,False,True,True,False,False,False,False,False,False,-0.7920821885445696,-0.4400000000000004,2.6390573296152584,-0.4400000000000004,-0.7421273627816641,5.278114659230517,6.9930151229329605,10.592009388764216,2.7675824618035443,2.5338952069746488,-1.5841643770891392
