,0
Ashuganj 150 MW ST3,"plant_name : Ashuganj 150 MW ST3, capacity : 150.0, own : Public, fuel_type : Gas"
Ashuganj 150 MW ST4,"plant_name : Ashuganj 150 MW ST4, capacity : 150.0, own : Public, fuel_type : Gas"
Ghorasal 210 MW STunit4,"plant_name : Ghorasal 210 MW STunit4, capacity : 210.0, own : Public, fuel_type : Gas"
Sylhet 20 MW PP,"plant_name : Sylhet 20 MW PP, capacity : 20.0, own : Public, fuel_type : Gas"
Haripur 32 MW GT1,"plant_name : Haripur 32 MW GT1, capacity : 32.0, own : Public, fuel_type : Gas"
Fenchuganj 91 MW CCPP (1st Unit),"plant_name : Fenchuganj 91 MW CCPP (1st Unit), capacity : 97.0, own : Public, fuel_type : Gas"
,"plant_name : nan, capacity : 125.0, own : nan, fuel_type : nan"
"Siddirganj 100 MW Q.Rental PP
(5 Years, Dutch Bangla Power)","plant_name : Siddirganj 100 MW Q.Rental PP
(5 Years, Dutch Bangla Power), capacity : 100.0, own : Private, fuel_type : HFO"
"Amnura, Chapainawabgonj Q.RPP
(Sinha Power )","plant_name : Amnura, Chapainawabgonj Q.RPP
(Sinha Power ), capacity : 50.0, own : Private, fuel_type : HFO"
"Bhola 80 MW Q. Rental PP (3 Years, Aggreco)","plant_name : Bhola 80 MW Q. Rental PP (3 Years, Aggreco), capacity : 95.0, own : Private, fuel_type : Gas"
"Julda, 100 MW Q.RPP
(5 Years, Acron Infra Service)","plant_name : Julda, 100 MW Q.RPP
(5 Years, Acron Infra Service), capacity : 100.0, own : Private, fuel_type : HFO"
"Keranigonj 100 MW Q.Rental PP
(Power Pack)","plant_name : Keranigonj 100 MW Q.Rental PP
(Power Pack), capacity : 100.0, own : Private, fuel_type : HFO"
Katakhali 50 MW Q. Rental PP( NPSL),"plant_name : Katakhali 50 MW Q. Rental PP( NPSL), capacity : 50.0, own : Private, fuel_type : HFO"
Ashuganj 150 MW ST5,"plant_name : Ashuganj 150 MW ST5, capacity : 150.0, own : Public, fuel_type : GAS"
Rangpur 20 MW PP,"plant_name : Rangpur 20 MW PP, capacity : 20.0, own : Public, fuel_type : HSD"
Saidpur 20 MW PP,"plant_name : Saidpur 20 MW PP, capacity : 20.0, own : Public, fuel_type : HSD"
Bhola 3 Years RPP (Venture),"plant_name : Bhola 3 Years RPP (Venture), capacity : 33.0, own : Private, fuel_type : Gas"
Bogura 3 Years RPP (Energy Prima),"plant_name : Bogura 3 Years RPP (Energy Prima), capacity : 20.0, own : Private, fuel_type : Gas"
Summit_Chandina_2nd Phase(REB),"plant_name : Summit_Chandina_2nd Phase(REB), capacity : 14.0, own : Private, fuel_type : Gas"
Summit_Ashulia_2nd Phase(REB),"plant_name : Summit_Ashulia_2nd Phase(REB), capacity : 34.0, own : Private, fuel_type : Gas"
Summit_Madubdi_2nd Phase(REB),"plant_name : Summit_Madubdi_2nd Phase(REB), capacity : 24.0, own : Private, fuel_type : Gas"
Ashuganj 55 MW 3 Yrs RPP (Precision Energy),"plant_name : Ashuganj 55 MW 3 Yrs RPP (Precision Energy), capacity : 55.0, own : Private, fuel_type : Gas"
Noapara 100 MW PP (Bangla Trac),"plant_name : Noapara 100 MW PP (Bangla Trac), capacity : 100.0, own : Private, fuel_type : HSD"
Doudkandi 200 MW PP (Bangla Trac),"plant_name : Doudkandi 200 MW PP (Bangla Trac), capacity : 200.0, own : Private, fuel_type : HSD"
