plant,start,fuel_type,own,capacity,end
Shikalbaha 150 MW Power Plant,"18 August, 2010",Gas,BPDB,150.0,
Siddhirganj 2x120 MW GTPP,"14 October, 2010",Gas,EGCB,105.0,
Ashuganj Rental Power Plant,"7 April, 2010",Gas,Rental (BPDB),55.0,
Shikalbaha 55 MW Rental Power Plant,"6 May, 2010",HFO,Rental (BPDB),55.0,
"Thakurgaon, 3 Years Rental PP","2 August, 2010",HFO,Rental (BPDB),50.0,
Ghorashal quick rental PP,"23 August, 2010",Gas,Rental (BPDB),145.0,
Khulna quick rental PP,"10 August, 2010",Diesel,Rental (BPDB),55.0,
"Pagla, Narayaganj quick rental PP","24 November, 2010",Diesel,Rental (BPDB),50.0,
Bheramara 3 Years Rental PP,"31 December, 2010",Diesel,Rental (BPDB),110.0,
Ashuganj 50 MW Power Plant,"30 April, 2011",Gas,APSCL,53.0,
Baghabari 50 MW Peaking PP,"29 August, 2011",HFO,BPDB,52.0,
Gopalganj 100 MW Peaking PP,"29 September, 2011",HFO,BPDB,109.0,
Fenchuganj 90 MW CCPP,"26 October, 2011",Gas,BPDB,104.0,
Bera 70 MW Peaking PP,"28 October, 2011",HFO,BPDB,71.0,
"Titas, Doudkandi 50 MW Peaking PP","29 October, 2011",HFO,BPDB,52.0,
Faridpur 50 MW Peaking PP,"3 November, 2011",HFO,BPDB,54.0,
Hathazari 100 MW Peaking PP,"23 December, 2011",HFO,BPDB,98.0,
"Sangu, Dohazari 100 MW Peaking PP","30 December, 2011",HFO,BPDB,102.0,
Siddhirganj 2x120 MW Peaking PP,"31 December, 2011",Gas,EGCB,105.0,
Siddhirganj quick rental PP,"17 February, 2011",Diesel,Rental (BPDB),100.0,
B Baria quick rental PP,"06 March, 2011",Gas,Rental (BPDB),70.0,
Modanganj quick rental PP,"01 April, 2011",HFO,Rental (BPDB),102.0,
Meghnaghat quick rental PP,"08 May, 2011",HFO,Rental (BPDB),100.0,
Ghorashal quick rental PP,"27 May, 2011",Gas,Rental (BPDB),78.0,
Noapara quick rental PP,"28 May, 2011",HFO,Rental (BPDB),40.0,
Ashuganj quick rental PP,"31May, 2011",Gas,Rental (BPDB),80.0,
