,own,plant_name_x,fuel_type,capacity_mw,net_generation_gwh,usage,match_name_plants,plant_name_y,costs_name,2021_units,2021_amount,2021_cost_per_unit
0,Public, Ghorasal Repowered CCPP Unit-3,Gas,260.0,47.1487,0.023,Ghorasal Repowered CCPP Unit-3,Ghorasal Repowered CCPP Unit-3,Ghorashal Power Station 630MW,1319311198.0,4128006661.0,3.13
1,Public, Ghorasal Repowered CCPP Unit-4,Gas,210.0,280.5226,0.197,Ghorasal Repowered CCPP Unit-4,Ghorasal Repowered CCPP Unit-4,Ghorashal Power Station 630MW,1319311198.0,4128006661.0,3.13
2,Public, Ghorasal TPP Unit-5,Gas,210.0,963.6894,0.62,Ghorasal TPP Unit-5,Ghorasal TPP Unit-5,Ghorashal Power Station 630MW,1319311198.0,4128006661.0,3.13
3,Public, Ghorasal TPP Unit-6,Gas,0.0,-2.206,,Ghorasal TPP Unit-6,Ghorasal TPP Unit-6,Ghorashal Power Station 630MW,1319311198.0,4128006661.0,3.13
4,Public,Ghorasal 365 MW CCPP Unit-7,Gas,365.0,1315.1245,0.434,Ghorasal 365 MW CCPP Unit-7,Ghorasal 365 MW CCPP Unit-7,Ghorashal Power Station 365MW,1315124459.0,4406810035.0,3.35
5,Public,Tongi 80 MW GTPP,Gas,105.0,-0.2004,,Tongi 80 MW GTPP,Tongi 80 MW GTPP,Tongi Power Station,-200350.0,232039734.0,
6,Public,Haripur GTPP,Gas,32.0,-0.4225,,Haripur GTPP,Haripur GTPP,Sbu Haripur (BPDB Book Costs),-422461.0,90047286.0,
7,Public,210 MW Shiddirganj TPP,Gas,210.0,-1.287,,210 MW Shiddirganj TPP,210 MW Shiddirganj TPP,Siddirgonj Power Station,-1287000.0,828728526.0,
8,Public,Siddhirganj 2x120 MW GTPP,Gas,210.0,563.9633,0.318,Siddhirganj 2x120 MW GTPP,Siddhirganj 2x120 MW GTPP,EGCB Ltd. (210X2) MW,563946120.0,2694566404.0,4.78
9,Public,Haripur 412 MW CCPP,Gas,412.0,1817.5804,0.527,Haripur 412 MW CCPP,Haripur 412 MW CCPP,EGCB Ltd. (412) MW,1803485796.0,5421654625.0,3.01
10,Public,Gazipur 52 MW PP,F.Oil,52.0,112.6812,0.255,Gazipur 52 MW PP,Gazipur 52 MW PP,RPCL 52MW Gazipur,112666731.0,1794318893.0,15.93
11,Public,Kodda 150 MW PP,F.Oil,149.0,387.4975,0.308,Kodda 150 MW PP,Kodda 150 MW PP,BPDB RPCL PowerGen Ltd.,387788703.0,5857190239.0,15.1
12,Public,Siddhirganj 335 MW CCPP,Gas,335.0,1042.3959,0.373,Siddhirganj 335 MW CCPP,Siddhirganj 335 MW CCPP,EGCB Ltd. (360) MW,1039616357.0,3656399175.0,3.52
13,Public,Gazipur 100 MW PP,F.Oil,105.0,370.9008,0.41,Gazipur 100 MW PP,Gazipur 100 MW PP,RPCL - Gazipur (105MW),372311616.0,4561729240.0,12.25
14,Public,Karnafuli Hydro,Hydro,230.0,654.9908,0.326,Karnafuli Hydro,Karnafuli Hydro,Karnafuli Hydro Power Station,654990772.0,1964677501.0,3.0
15,Public,Rauzan 210 MW /ST (1st),Gas,210.0,403.4491,0.297,Rauzan 210 MW /ST (1st),Rauzan 210 MW /ST (1st),"Chittagong Power Station, Rawzan",403449100.0,2099326841.0,5.2
16,Public,Rauzan 210 MW /ST (2nd),Gas,210.0,0.0,,Rauzan 210 MW /ST (2nd),Rauzan 210 MW /ST (2nd),"Chittagong Power Station, Rawzan",403449100.0,2099326841.0,5.2
17,Public,Shikalbaha 150 MW Peaking PP,Gas,,641.9223,0.505,Shikalbaha 150 MW Peaking PP,Shikalbaha 150 MW Peaking PP,Shikalbaha Power Station (Gas Generation),642083760.0,2107885049.0,3.28
18,Public,Hathazari 100 MW Peaking PP,F.Oil,98.0,-0.8567,0.001,Hathazari 100 MW Peaking PP,Hathazari 100 MW Peaking PP,Hathazari Peacking Power Plant,-856680.0,357032315.0,
19,Public,"Sangu, Dohazari-kaliaish 100 MW PPP",F.Oil,102.0,203.2578,0.234,"Sangu, Dohazari-kaliaish 100 MW PPP","Sangu, Dohazari-kaliaish 100 MW PPP",Dohazari Peacking Power Plant,203257800.0,2723891885.0,13.4
20,Public,RPCL Raozan 25 MW,F.Oil,25.0,68.4048,0.321,RPCL Raozan 25 MW,RPCL Raozan 25 MW,RPCL 25MW Rawjan,68409238.0,932009423.0,13.62
21,Public,Shikalbaha 225 MW PS,Gas,225.0,1014.6721,0.536,Shikalbaha 225 MW PS,Shikalbaha 225 MW PS,Shikalbaha 225 MW Shamipur (Dual Fuel),1015075276.0,3028903928.0,2.98
23,Public,Kutubdia 900KW Wind PP,Wind,0.0,0.6083,,Kutubdia 900KW Wind PP,Kutubdia 900KW Wind PP,"Wind Base Power Station, Kutubdia & Hatiya",661410.0,4085793.0,6.18
24,Public,Kaptai Solar,Solar,7.0,9.7123,0.159,Kaptai Solar,Kaptai Solar,7.4 MW Solar Pv Power Plant At Kaptai,9712274.0,56235351.0,5.79
25,Public, Ashuganj TPP Unit-3,Gas,150.0,222.9391,0.209,Ashuganj TPP Unit-3,Ashuganj TPP Unit-3,APSCL (Except New 573 MW),711938656.0,3725662841.0,5.23
26,Public, Ashuganj TPP Unit-4,Gas,150.0,279.6746,0.261,Ashuganj TPP Unit-4,Ashuganj TPP Unit-4,APSCL (Except New 573 MW),711938656.0,3725662841.0,5.23
27,Public, Ashuganj TPP Unit-5,Gas,150.0,215.2755,0.202,Ashuganj TPP Unit-5,Ashuganj TPP Unit-5,APSCL (Except New 573 MW),711938656.0,3725662841.0,5.23
28,Public,Ashuganj 50 MW PP,Gas,53.0,184.7955,0.483,Ashuganj 50 MW PP,Ashuganj 50 MW PP,APSCL (New 50 MW),184795542.0,439275908.0,2.38
29,Public,Ashuganj 225 MW CCPP,Gas,221.0,1574.3307,0.828,Ashuganj 225 MW CCPP,Ashuganj 225 MW CCPP,APSCL (225 MW),1574330675.0,5139666301.0,3.26
30,Public,Ashuganj 450 MW CCPP (South),Gas,360.0,1955.573,0.646,Ashuganj 450 MW CCPP (South),Ashuganj 450 MW CCPP (South),APSCL (450 MW) South,1955572989.0,7571323434.0,3.87
31,Public,Ashuganj 450 MW CCPP (North),Gas,360.0,2088.9237,0.694,Ashuganj 450 MW CCPP (North),Ashuganj 450 MW CCPP (North),APSCL (450 MW) North,2088923729.0,5900126978.0,2.82
32,Public,Chandpur 150 MW CCPP,Gas,163.0,596.5169,0.441,Chandpur 150 MW CCPP,Chandpur 150 MW CCPP,Chadpur CC Power Plant,596516880.0,2118526788.0,3.55
33,Public,Titas 50 MW Peaking PP,F.Oil,52.0,45.1598,0.104,Titas 50 MW Peaking PP,Titas 50 MW Peaking PP,Titas 50 MW Peacking Power Plant,45159828.0,767554040.0,17.0
34,Public,"Shahjibazar 70 MW GT, Habiganj",Gas,70.0,361.4274,0.628,"Shahjibazar 70 MW GT, Habiganj","Shahjibazar 70 MW GT, Habiganj",Shahjibazar Power Station,361427444.0,1315252227.0,3.64
35,Public,Shahjibazar 330 MW CCPP,Gas,330.0,1505.2982,0.546,Shahjibazar 330 MW CCPP,Shahjibazar 330 MW CCPP,Shahjibazar 330 CCPP,1505298191.0,4270031976.0,2.84
36,Public,Fenchuganj C.C. (Unit #1),Gas,97.0,396.7305,0.662,Fenchuganj C.C. (Unit #1),Fenchuganj C.C. (Unit #1),Fenchuganj 2x 90 MW CCPP (1st & 2nd Unit),637015112.0,2302166239.0,3.61
37,Public,Fenchuganj C.C. (Unit #2),Gas,104.0,240.2846,0.34,Fenchuganj C.C. (Unit #2),Fenchuganj C.C. (Unit #2),Fenchuganj 2x 90 MW CCPP (1st & 2nd Unit),637015112.0,2302166239.0,3.61
38,Public,Sylhet 1x20 MW /GT,Gas,20.0,111.0293,0.637,Sylhet 1x20 MW /GT,Sylhet 1x20 MW /GT,Kumergoan Gt Power Sylhet,111029330.0,419366446.0,3.78
39,Public,Sylhet 225 MW CCPP,Gas,231.0,1075.5239,0.548,Sylhet 225 MW CCPP,Sylhet 225 MW CCPP,Sylhet 225 MW Peaking Power Plant,1075523895.0,3169637650.0,2.95
40,Public,Bibiana III 400 MW CCPP,Gas,400.0,1839.712,0.549,Bibiana III 400 MW CCPP,Bibiana III 400 MW CCPP,Bibiyana-3 400MW,1839712000.0,3754277784.0,2.04
41,Public,Shahazibazar 100 MW GT,Gas,100.0,39.4552,0.052,Shahazibazar 100 MW GT,Shahazibazar 100 MW GT,Shahjibazar 100 P/S,39455245.0,74678391.0,1.89
42,Public,Bibiyana - South  383 MW CCPP,Gas,383.0,1351.3021,0.406,Bibiyana - South  383 MW CCPP,Bibiyana - South  383 MW CCPP,Bibiyana - South,1351302135.0,2630938263.0,1.95
43,Public,Khulna 225 MW (NWPGCL),HSD,230.0,279.0524,0.144,Khulna 225 MW (NWPGCL),Khulna 225 MW (NWPGCL),North West Power Gen (NWPGCL)- Khulna,279080308.0,7770389923.0,27.84
44,Public,Bheramara GT unit-3,HSD,20.0,-0.1532,0.0,Bheramara GT unit-3,Bheramara GT unit-3,Bheramara Power Station,-153245.0,215299420.0,
45,Public,Bheramara 360 MW CCPP (NWPGCL),Gas,410.0,2706.8683,0.789,Bheramara 360 MW CCPP (NWPGCL),Bheramara 360 MW CCPP (NWPGCL),North West Power Gen (NWPGCL)- Bheramara,2706234738.0,7636097844.0,2.82
46,Public,Faridpur 50 MW Peaking PP,F.Oil,54.0,15.5429,0.037,Faridpur 50 MW Peaking PP,Faridpur 50 MW Peaking PP,Faridpur Peacking Power Plant,15542880.0,729884028.0,46.96
47,Public,Gopalganj 100 MW Peaking PP,F.Oil,109.0,4.1326,0.007,Gopalganj 100 MW Peaking PP,Gopalganj 100 MW Peaking PP,Gopalgonj Peaking Power Plant,4132618.0,904161859.0,218.79
48,Public,Modhumoti 105 MW NWPGCL,F.Oil,105.0,12.4258,0.015,Modhumoti 105 MW NWPGCL,Modhumoti 105 MW NWPGCL,North West Power Gen (NWPGCL)- Madhumati,11607408.0,1485423700.0,127.97
49,Public,Bhola 225 MW CCPP,Gas,194.0,315.2895,0.201,Bhola 225 MW CCPP,Bhola 225 MW CCPP,Bhola 225 MW CCPP,315289459.0,2046831372.0,6.49
50,Public,"Baghabari 71 MW /GT
Baghabari 100 MW /GT",Gas,71.0,57.6144,0.18,"Baghabari 71 MW /GT
Baghabari 100 MW /GT","Baghabari 71 MW /GT
Baghabari 100 MW /GT",Baghabari Power Station,110150010.0,992715721.0,9.01
51,Public,Sirajgonj 210 MW CC (NWPGCL) Unit-1,Gas,210.0,216.5913,0.122,Sirajgonj 210 MW CC (NWPGCL) Unit-1,Sirajgonj 210 MW CC (NWPGCL) Unit-1,North West Power Gen (NWPGCL)- Sirajgonj,216329490.0,2382001459.0,11.01
52,Public,Baghabari 50 MW Peaking RE,F.Oil,52.0,85.4892,0.191,Baghabari 50 MW Peaking RE,Baghabari 50 MW Peaking RE,Baghabari 50 Peaking Power Plant,85489209.0,1241686821.0,14.52
53,Public,Bera 70 MW Peaking RE,F.Oil,71.0,31.2907,0.052,Bera 70 MW Peaking RE,Bera 70 MW Peaking RE,Bera Peacking Power Plant,31290740.0,1024671785.0,32.75
54,Public,Santahar 50 MW PP,F.Oil,50.0,42.8089,0.1,Santahar 50 MW PP,Santahar 50 MW PP,Shantahar 50MW Power Plant,42808887.0,923423783.0,21.57
55,Public,Katakhali 50 MW PP,F.Oil,50.0,51.4384,0.12,Katakhali 50 MW PP,Katakhali 50 MW PP,Katakhali 50MW Power Plant,51438387.0,981043441.0,19.07
56,Public,"Chapainobabgonj Peaking Power Station 100 MW, Amnura",F.Oil,104.0,259.43144,0.291,"Chapainobabgonj Peaking Power Station 100 MW, Amnura","Chapainobabgonj Peaking Power Station 100 MW, Amnura",Chapainobabgonj Peaking Pp 100 MW Amnura,259431440.0,3242149031.0,12.5
57,Public,Sirajgonj 210 MW CC (NWPGCL) Unit-2,Gas,220.0,1135.6566,0.616,Sirajgonj 210 MW CC (NWPGCL) Unit-2,Sirajgonj 210 MW CC (NWPGCL) Unit-2,North West Power Gen (NWPGCL)- Sirajgonj (Unit - 2),1135656573.0,4351973695.0,3.83
58,Public,Sirajgonj 210 MW CC (NWPGCL) Unit-3,Gas,220.0,1447.0055,0.781,Sirajgonj 210 MW CC (NWPGCL) Unit-3,Sirajgonj 210 MW CC (NWPGCL) Unit-3,North West Power Gen (NWPGCL)- Sirajgonj (Unit - 3),1447005461.0,4890841676.0,3.38
61,Public,"Barapukuria Coal based S/T (unit 1,2)",COAL,250.0,86.4905,0.078,"Barapukuria Coal based S/T (unit 1,2)","Barapukuria Coal based S/T (unit 1,2)",Barapukuria Power Station 1,86490537.0,971847293.0,11.24
62,Public,Barapukuria Coal based S/T (unit 3),COAL,274.0,1098.3259,0.518,Barapukuria Coal based S/T (unit 3),Barapukuria Coal based S/T (unit 3),Barapukuria Power Station 2,1098325916.0,9681794240.0,8.82
63,Public,Saidpur 20 MW /GT,HSD,20.0,2.0647,0.013,Saidpur 20 MW /GT,Saidpur 20 MW /GT,Sayedpur Gas Turbine Power Station,2064740.0,197112122.0,95.47
64,Public,Rangpur 20 MW /GT,HSD,20.0,1.4037,0.009,Rangpur 20 MW /GT,Rangpur 20 MW /GT,Rangpur Gas Turbine Power Station,1403713.0,211487881.0,150.66
65,Joint venture,"Payra, Potuakhali 2*660 MW PP (U-1)",COAL,622.0,2049.4159,0.397,"Payra, Potuakhali 2*660 MW PP (U-1)","Payra, Potuakhali 2*660 MW PP (U-1)",Bangladsh -China Power Company (Pvt.) Ltd. 1320MW,3811921991.0,32764848584.0,8.6
66,Joint venture,"Payra, Potuakhali 2*660 MW PP (U-2)",,622.0,1762.5061,0.339,"Payra, Potuakhali 2*660 MW PP (U-2)","Payra, Potuakhali 2*660 MW PP (U-2)",Bangladsh -China Power Company (Pvt.) Ltd. 1320MW,3811921991.0,32764848584.0,8.6
67,IPP,Midland Power Co. Ashuganj 51 MW,GAS,51.0,294.124,0.66,Midland Power Co. Ashuganj 51 MW,Midland Power Co. Ashuganj 51 MW,Midland Power Company Ltd.,294124026.0,930353155.0,3.16
68,IPP,Rural Power Company Ltd.(RPCL),GAS,210.0,1150.0912,0.63,Rural Power Company Ltd.(RPCL),Rural Power Company Ltd.(RPCL),RPC LTD. Mymensingh (210 MW),1150056632.0,3840313302.0,3.34
69,IPP,Haripur Power Ltd.,GAS,360.0,2315.379,0.73,Haripur Power Ltd.,Haripur Power Ltd.,Haripur Power Ltd.,2315379010.0,3878445190.0,1.68
70,IPP,Meghnaghat Power Ltd.,GAS,450.0,2275.4899,0.58,Meghnaghat Power Ltd.,Meghnaghat Power Ltd.,Meghnaghat Power Ltd.,2276324250.0,6238656026.0,2.74
71,IPP,Regent Energy & Power Ltd 108 MW,GAS,108.0,591.4501,0.63,Regent Energy & Power Ltd 108 MW,Regent Energy & Power Ltd 108 MW,Regent Energy & Power Ltd.,591450096.0,1726171586.0,2.92
72,IPP,United Power Co. Ltd.200 MW Exp,GAS,195.0,145.6385,0.09,United Power Co. Ltd.200 MW Exp,United Power Co. Ltd.200 MW Exp,United Mymensingh Power Ltd. (200MW),1019821200.0,11669327634.0,11.44
73,IPP,Summit Bibiyana - II Power Co Ltd. 341 MW,GAS,341.0,2455.8871,0.82,Summit Bibiyana - II Power Co Ltd. 341 MW,Summit Bibiyana - II Power Co Ltd. 341 MW,Summit Bibiyana II Power Company Ltd.,2455887148.0,6030061928.0,2.46
74,IPP,Kushiara power Co. Ltd (163MW)CCPP Fenchuganj,GAS,163.0,1065.5715,0.75,Kushiara power Co. Ltd (163MW)CCPP Fenchuganj,Kushiara power Co. Ltd (163MW)CCPP Fenchuganj,Kushiara Power Company Ltd.,1065571452.0,3184203020.0,2.99
75,IPP,Sembcorp NWPGCL,GAS,414.0,2945.2366,0.81,Sembcorp NWPGCL,Sembcorp NWPGCL,Sembcorp NWPC Ltd. - Sirajgonj (282MW),2945236563.0,9029761730.0,3.07
76,IPP,Summit Meghnaghat Power Co.Ltd.,GAS,305.0,1559.0939,0.58,Summit Meghnaghat Power Co.Ltd.,Summit Meghnaghat Power Co.Ltd.,Summit Meghnaghat Power Ltd.,1559093909.0,6547648630.0,4.2
77,IPP,Nutan Biddyut 220MW Bhola,GAS,220.0,266.9117,0.14,Nutan Biddyut 220MW Bhola,Nutan Biddyut 220MW Bhola,Nutan Bidyut (Bangladesh) Ltd. (220MW),160931128.0,284039503.0,1.76
