,own,plant_name_x,fuel_type,capacity_mw,net_generation_gwh,usage,costs_name,2021_units,2021_amount,2021_cost_per_unit,2022_units,2022_amount,2022_cost_per_unit
15,Public,Kutubdia 900KW Wind PP,Wind,0.0,0.6083,,"Wind Base Power Station, Kutubdia & Hatiya",661410.0,4085793.0,6.18,599901.0,1531007.0,422.0
121,IPP,Sharishabari 3 MW Engreen Solar Power Plant,Solar,3.0,3.9442,0.15,Engreen Solar,3944220.0,63523756.0,16.11,3997213.0,65644538.0,16.0
123,IPP,Sympa Solar Power 8 MW,Solar,8.0,11.269,0.16,Sympa Solar Power Limited,11268182.0,124366922.0,11.04,11994460.0,135093706.0,11.0
16,Public,Kaptai Solar,Solar,7.0,9.7123,0.159,7.4 MW Solar Pv Power Plant At Kaptai,9712274.0,56235351.0,5.79,9.0,143521777.0,1556.0
138,RENTAL & SIPP,Fenchugonj 50 MW Rental (Energy Prima),GAS,,219.7947,0.86,"ENERGYPRIMA, FENCHUGONJ",208743147.0,681674489.0,3.27,48318547.0,146415205.0,3.0
136,RENTAL & SIPP,Kumargao 10 MW Desh Combridge (15 Yrs),GAS,10.0,61.4628,0.7,"DESH CAMBRIDGE, KUMERGOAN",61412951.0,235977144.0,3.84,75345178.0,273009147.0,3.0
149,RENTAL & SIPP,Amnura 50MW Sinha Power,F.oil,50.0,34.312,0.08,AMNURA(SINHA POWER GENERATION),16256328.0,108212126.0,6.66,20839351.0,274117988.0,13.0
88,IPP,Powerpac Mutiara Jamalpur Power plant Ltd,F.Oil,95.0,289.7374,0.35,Power Pac Motiara - Jamalpur,289737408.0,3268082838.0,11.28,13945632.0,307097193.0,22.0
142,RENTAL & SIPP,Shahjahanullah Power Gen Co. Ltd.,GAS,,102.6552,0.47,Shahjanullah Power Generation Co. Ltd.,102686146.0,354266198.0,3.45,119664201.0,413061164.0,3.0
28,Public,Ashuganj 50 MW PP,Gas,53.0,184.7955,0.483,APSCL (New 50 MW),184795542.0,439275908.0,2.38,194969682.0,417729941.0,2.0
61,IPP,20 MW Solar Teknaf,Solar,20.0,33.4382,0.19,Technaf Solartech Energy Ltd. (20MW),33438191.0,394598682.0,11.8,37555078.0,452146681.0,12.0
66,RENTAL & SIPP,Barabkundu SIPP 22 MW (Regent Power),GAS,22.0,157.7652,0.82,Regent Power Ltd.,157765152.0,463450991.0,2.94,147081880.0,453755759.0,3.0
64,RENTAL & SIPP,Tangail SIPP (22 MW) (Doreen Power Ltd.),GAS,22.0,141.1988,0.73,Doreen Power Generation & System Ltd.- Tangail,151198828.0,432331158.0,2.86,156351263.0,462019663.0,2.0
132,RENTAL & SIPP,Feni SIPP (22 MW) (Doreen Power Ltd.),GAS,22.0,160.0048,0.83,Doreen Power Generation & System Ltd.-Feni,160004772.0,459479489.0,2.87,161137638.0,467524474.0,2.0
83,IPP,Sinha Peoples Energy Ltd.Katpatti 52.5 MW Exp,F.Oil,51.0,21.3606,0.05,Sinha People Energy Ltd.,21026448.0,812740081.0,38.65,25438560.0,497991030.0,19.0
68,RENTAL & SIPP,Khanjahan Ali Noapara  40 MW,F.oil,,92.2828,0.29,KHANJAHAN ALI POWER LTD.,92282785.0,1363243262.0,14.77,29896435.0,586325265.0,19.0
125,IPP,Manikganj 35MW Spectra Solar Park Ltd.,Solar,35.0,29.1477,0.1,Spectra Solar Park,20066259.0,207814734.0,10.36,52473009.0,627377593.0,11.0
67,RENTAL & SIPP,Bhola 32 MW (Venture Energy Resources Ltd.),GAS,33.0,199.538,0.69,"VENTURE ENERGY, BHOLA",199537974.0,796370803.0,3.99,189564498.0,672491504.0,3.0
