,plant_name,capacity_mw,plant_name_alt,fuel_type_x,own_x,search_name,search_year,extracted_year
0,Kutubdia 900KW Wind PP,0.0,"Wind Base Power Station, Kutubdia & Hatiya",WIND,Public,"Kutubdia 900KW Wind PP 0.0 Wind Base Power Station, Kutubdia & Hatiya WIND Public",,
7,Powerpac Mutiara Jamalpur Power plant Ltd,95.0,Power Pac Motiara - Jamalpur,HFO,IPP,Powerpac Mutiara Jamalpur Power plant Ltd 95.0 Power Pac Motiara - Jamalpur HFO IPP,,
15,Khanjahan Ali Noapara  40 MW,,KHANJAHAN ALI POWER LTD.,HFO,RENTAL & SIPP,Khanjahan Ali Noapara  40 MW  KHANJAHAN ALI POWER LTD. HFO RENTAL & SIPP,,
19,Shikalbaha 150 MW Peaking PP,,Shikalbaha Power Station (Gas Generation),GAS,Public,Shikalbaha 150 MW Peaking PP  Shikalbaha Power Station (Gas Generation) GAS Public,,
27,Aggreko 95 MW Bhola,95.0,AGGREKO INTERNATIONAL LTD.-BHOLA (95 MW),GAS,RENTAL & SIPP,Aggreko 95 MW Bhola 95.0 AGGREKO INTERNATIONAL LTD.-BHOLA (95 MW) GAS RENTAL & SIPP,,
29,Regent Energy & Power Ltd 108 MW,108.0,Regent Energy & Power Ltd.,GAS,IPP,Regent Energy & Power Ltd 108 MW 108.0 Regent Energy & Power Ltd. GAS IPP,,
30,RPCL Raozan 25 MW,25.0,RPCL 25MW Rawjan,HFO,Public,RPCL Raozan 25 MW 25.0 RPCL 25MW Rawjan HFO Public,,
33,Summit  Power Co. Ltd Madangonj (100 MW),102.0,SUMMIT NARAYANGONJ POWER LTD.,HFO,RENTAL & SIPP,Summit  Power Co. Ltd Madangonj (100 MW) 102.0 SUMMIT NARAYANGONJ POWER LTD. HFO RENTAL & SIPP,,
34,KPCL( 115 MW) U-2,115.0,KPCL -UNIT-2,HFO,RENTAL & SIPP,KPCL( 115 MW) U-2 115.0 KPCL -UNIT-2 HFO RENTAL & SIPP,,
35,Sirajgonj 210 MW CC (NWPGCL) Unit-1,210.0,North West Power Gen (NWPGCL)- Sirajgonj,GAS,Public,Sirajgonj 210 MW CC (NWPGCL) Unit-1 210.0 North West Power Gen (NWPGCL)- Sirajgonj GAS Public,,
37,Summit   Barishal (110 MW),110.0,Summit Barishal Power Ltd.,HFO,IPP,Summit   Barishal (110 MW) 110.0 Summit Barishal Power Ltd. HFO IPP,,
40,"Power Pac Mutiara,Keranigonj,100MW",100.0,POWER PAC MUTIARA KERANIGONJ,HFO,RENTAL & SIPP,"Power Pac Mutiara,Keranigonj,100MW 100.0 POWER PAC MUTIARA KERANIGONJ HFO RENTAL & SIPP",,
50,Lakdhanvi lanka- Bangla Jangalia Cumilla 52MW,52.0,Lakdhanvi Bangla Power Ltd.,HFO,IPP,Lakdhanvi lanka- Bangla Jangalia Cumilla 52MW 52.0 Lakdhanvi Bangla Power Ltd. HFO IPP,,
51,Raj Lanka Power Gen.Com. Ltd.Nator 55 MW,52.0,Raj Lanka Power Limited,HFO,IPP,Raj Lanka Power Gen.Com. Ltd.Nator 55 MW 52.0 Raj Lanka Power Limited HFO IPP,,
53,Gazipur 52 MW PP,52.0,RPCL 52MW Gazipur,HFO,Public,Gazipur 52 MW PP 52.0 RPCL 52MW Gazipur HFO Public,,
55,Rural Power Company Ltd.(RPCL),210.0,RPC LTD. Mymensingh (210 MW),GAS,IPP,Rural Power Company Ltd.(RPCL) 210.0 RPC LTD. Mymensingh (210 MW) GAS IPP,,
56,"Aggreko, Brahmangaon 100MW",100.0,Aggreko Energy Solution Ltd. - Bhahmangoan (100MW),HSD,IPP,"Aggreko, Brahmangaon 100MW 100.0 Aggreko Energy Solution Ltd. - Bhahmangoan (100MW) HSD IPP",,
57,"Aggreko, Aourahati 100MW",100.0,Aggreko Energy Solution Ltd. - Aorahati (100MW),HSD,IPP,"Aggreko, Aourahati 100MW 100.0 Aggreko Energy Solution Ltd. - Aorahati (100MW) HSD IPP",,
58,Sirajgonj 210 MW CC (NWPGCL) Unit-3,220.0,North West Power Gen (NWPGCL)- Sirajgonj (Unit - 3),GAS,Public,Sirajgonj 210 MW CC (NWPGCL) Unit-3 220.0 North West Power Gen (NWPGCL)- Sirajgonj (Unit - 3) GAS Public,,
59,Dhaka(Doreen) Northern Power Ltd.Manikgonj,55.0,Doreen Northern Power Limited,HFO,IPP,Dhaka(Doreen) Northern Power Ltd.Manikgonj 55.0 Doreen Northern Power Limited HFO IPP,,
62,Nutan Biddyut 220MW Bhola,220.0,Nutan Bidyut (Bangladesh) Ltd. (220MW),GAS,IPP,Nutan Biddyut 220MW Bhola 220.0 Nutan Bidyut (Bangladesh) Ltd. (220MW) GAS IPP,,
63,Summit Narayangonj Power unit-2 Madangonj (55 MW),55.0,Summit Narayangonj Power Unit II Ltd.,HFO,IPP,Summit Narayangonj Power unit-2 Madangonj (55 MW) 55.0 Summit Narayangonj Power Unit II Ltd. HFO IPP,,
64,Jodiac Power,54.0,Zodiac Power Ctg. Ltd.,HFO,IPP,Jodiac Power 54.0 Zodiac Power Ctg. Ltd. HFO IPP,,
65,Dhaka(Doreen) Southern Power Ltd.Nobabgonj,55.0,Doreen Southern Power Limited,HFO,IPP,Dhaka(Doreen) Southern Power Ltd.Nobabgonj 55.0 Doreen Southern Power Limited HFO IPP,,
