,own_x,plant_name,plant_name_alt,fuel_type_x,capacity_mw,search_name
0,Public,Kutubdia 900KW Wind PP,"Wind Base Power Station, Kutubdia & Hatiya",WIND,0.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
7,IPP,Powerpac Mutiara Jamalpur Power plant Ltd,Power Pac Motiara - Jamalpur,HFO,95.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
15,RENTAL & SIPP,Khanjahan Ali Noapara  40 MW,KHANJAHAN ALI POWER LTD.,HFO,,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
19,Public,Shikalbaha 150 MW Peaking PP,Shikalbaha Power Station (Gas Generation),GAS,,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
27,RENTAL & SIPP,Aggreko 95 MW Bhola,AGGREKO INTERNATIONAL LTD.-BHOLA (95 MW),GAS,95.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
29,IPP,Regent Energy & Power Ltd 108 MW,Regent Energy & Power Ltd.,GAS,108.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
30,Public,RPCL Raozan 25 MW,RPCL 25MW Rawjan,HFO,25.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
33,RENTAL & SIPP,Summit  Power Co. Ltd Madangonj (100 MW),SUMMIT NARAYANGONJ POWER LTD.,HFO,102.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
34,RENTAL & SIPP,KPCL( 115 MW) U-2,KPCL -UNIT-2,HFO,115.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
35,Public,Sirajgonj 210 MW CC (NWPGCL) Unit-1,North West Power Gen (NWPGCL)- Sirajgonj,GAS,210.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
37,IPP,Summit   Barishal (110 MW),Summit Barishal Power Ltd.,HFO,110.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
40,RENTAL & SIPP,"Power Pac Mutiara,Keranigonj,100MW",POWER PAC MUTIARA KERANIGONJ,HFO,100.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
50,IPP,Lakdhanvi lanka- Bangla Jangalia Cumilla 52MW,Lakdhanvi Bangla Power Ltd.,HFO,52.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
51,IPP,Raj Lanka Power Gen.Com. Ltd.Nator 55 MW,Raj Lanka Power Limited,HFO,52.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
53,Public,Gazipur 52 MW PP,RPCL 52MW Gazipur,HFO,52.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
55,IPP,Rural Power Company Ltd.(RPCL),RPC LTD. Mymensingh (210 MW),GAS,210.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
56,IPP,"Aggreko, Brahmangaon 100MW",Aggreko Energy Solution Ltd. - Bhahmangoan (100MW),HSD,100.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
57,IPP,"Aggreko, Aourahati 100MW",Aggreko Energy Solution Ltd. - Aorahati (100MW),HSD,100.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
58,Public,Sirajgonj 210 MW CC (NWPGCL) Unit-3,North West Power Gen (NWPGCL)- Sirajgonj (Unit - 3),GAS,220.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
59,IPP,Dhaka(Doreen) Northern Power Ltd.Manikgonj,Doreen Northern Power Limited,HFO,55.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
62,IPP,Nutan Biddyut 220MW Bhola,Nutan Bidyut (Bangladesh) Ltd. (220MW),GAS,220.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
63,IPP,Summit Narayangonj Power unit-2 Madangonj (55 MW),Summit Narayangonj Power Unit II Ltd.,HFO,55.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
