,own_x,own_y,plant_name,plant_name_alt,plant,fuel_type_x,fuel_type_y,capacity_mw,capacity,dtall_index
0,Public,,Kutubdia 900KW Wind PP,"Wind Base Power Station, Kutubdia & Hatiya",,WIND,,0.0,,
1,IPP,,Sharishabari 3 MW Engreen Solar Power Plant,Engreen Solar,,SOLAR,,3.0,,
2,IPP,,Sympa Solar Power 8 MW,Sympa Solar Power Limited,,SOLAR,,8.0,,
3,Public,,Kaptai Solar,7.4 MW Solar Pv Power Plant At Kaptai,,SOLAR,,7.0,,
4,RENTAL & SIPP,,Fenchugonj 50 MW Rental (Energy Prima),"ENERGYPRIMA, FENCHUGONJ",,GAS,,,,
5,RENTAL & SIPP,,Kumargao 10 MW Desh Combridge (15 Yrs),"DESH CAMBRIDGE, KUMERGOAN",,GAS,,10.0,,
6,RENTAL & SIPP,,Amnura 50MW Sinha Power,AMNURA(SINHA POWER GENERATION),,HFO,,50.0,,
7,IPP,,Powerpac Mutiara Jamalpur Power plant Ltd,Power Pac Motiara - Jamalpur,,HFO,,95.0,,
8,RENTAL & SIPP,,Shahjahanullah Power Gen Co. Ltd.,Shahjanullah Power Generation Co. Ltd.,,GAS,,,,
9,Public,Rental (BPDB),Ashuganj 50 MW PP,APSCL (New 50 MW),Ashuganj quick rental PP,GAS,GAS,53.0,53.0,27.0
10,IPP,,20 MW Solar Teknaf,Technaf Solartech Energy Ltd. (20MW),,SOLAR,,20.0,,
11,RENTAL & SIPP,Private,Barabkundu SIPP 22 MW (Regent Power),Regent Power Ltd.,Barobkundo SIPP (Regent Power),GAS,GAS,22.0,22.0,209.0
12,RENTAL & SIPP,Private,Tangail SIPP (22 MW) (Doreen Power Ltd.),Doreen Power Generation & System Ltd.- Tangail,Tangail SIPP (Doreen),GAS,GAS,22.0,22.0,198.0
13,RENTAL & SIPP,Private,Feni SIPP (22 MW) (Doreen Power Ltd.),Doreen Power Generation & System Ltd.-Feni,Feni SIPP (Doreen),GAS,GAS,22.0,22.0,203.0
14,IPP,,Sinha Peoples Energy Ltd.Katpatti 52.5 MW Exp,Sinha People Energy Ltd.,,HFO,,51.0,,
15,RENTAL & SIPP,,Khanjahan Ali Noapara  40 MW,KHANJAHAN ALI POWER LTD.,,HFO,,,,
16,IPP,,Manikganj 35MW Spectra Solar Park Ltd.,Spectra Solar Park,,SOLAR,,35.0,,
17,RENTAL & SIPP,,Bhola 32 MW (Venture Energy Resources Ltd.),"VENTURE ENERGY, BHOLA",,GAS,,33.0,,
18,RENTAL & SIPP,Private,Bogura RPP (24MW) 15 yrs,GBB POWER LTD.,Bogura 15 Years RPP (GBB),GAS,GAS,22.0,20.0,188.0
19,Public,,Shikalbaha 150 MW Peaking PP,Shikalbaha Power Station (Gas Generation),,GAS,,,,
20,Public,Public,"Baghabari 71 MW /GT
Baghabari 100 MW /GT",Baghabari Power Station,Baghabari 71 MW GT,GAS,GAS,71.0,71.0,193.0
21,IMPORT,,Power Import (Bheramara-Bharampur Phase-1),Power Grid Corporation of India - 250MW,,IMPORT,,500.0,,
22,Public,BPDB,Faridpur 50 MW Peaking PP,Faridpur Peacking Power Plant,Faridpur 50 MW Peaking PP,HFO,HFO,54.0,54.0,15.0
23,RENTAL & SIPP,,Jangalia 33 MW (Summit Purbanchol Po. Co. Ltd.),Summit Purbachal Power Ltd.-Jangalia,,GAS,,33.0,,
24,Public,EGCB,210 MW Shiddirganj TPP,Siddirgonj Power Station,Siddhirganj 335 MW CCPP,GAS,GAS,210.0,217.0,81.0
25,IPP,,Midland Power Co. Ashuganj 51 MW,Midland Power Company Ltd.,,GAS,,51.0,,
26,RENTAL & SIPP,Private,Ashugonj  55 MW 3Yrs Rental (Precision Energy),PRECISION ENERGY LTD.,Ashuganj 55 MW 3 Yrs RPP (Precision Energy),GAS,GAS,55.0,55.0,184.0
27,RENTAL & SIPP,,Aggreko 95 MW Bhola,AGGREKO INTERNATIONAL LTD.-BHOLA (95 MW),,GAS,,95.0,,
28,IPP,,50 MW HDFC Solar Power Plant,HDFC SinPower Ltd. (50MW),,SOLAR,,50.0,,
29,IPP,,Regent Energy & Power Ltd 108 MW,Regent Energy & Power Ltd.,,GAS,,108.0,,
30,Public,,RPCL Raozan 25 MW,RPCL 25MW Rawjan,,HFO,,25.0,,
31,Public,,Siddhirganj 2x120 MW GTPP,EGCB Ltd. (210X2) MW,,GAS,,210.0,,
32,Public,BPDB,Chandpur 150 MW CCPP,Chadpur CC Power Plant,Chandpur 150 MW CC Power Plant,GAS,GAS,163.0,163.0,31.0
33,RENTAL & SIPP,,Summit  Power Co. Ltd Madangonj (100 MW),SUMMIT NARAYANGONJ POWER LTD.,,HFO,,102.0,,
34,RENTAL & SIPP,,KPCL( 115 MW) U-2,KPCL -UNIT-2,,HFO,,115.0,,
35,Public,NWPGCL,Sirajgonj 210 MW CC (NWPGCL) Unit-1,North West Power Gen (NWPGCL)- Sirajgonj,Sirajganj 225 MW CCPP (2nd  Unit),GAS,GAS/HSD,210.0,220.0,80.0
36,RENTAL & SIPP,,Sahzibazar 86 MW RPP (15 yrs),SHAHJIBAZAR POWER CO. LTD.,,GAS,,86.0,,
37,IPP,,Summit   Barishal (110 MW),Summit Barishal Power Ltd.,,HFO,,110.0,,
38,IPP,,Tangail Polly Power 22 MW TPPGCl,Tangail Palli Power Generation Ltd. (22MW),,HFO,,22.0,,
39,IPP,,United Payra PP Patuakhali Imp,United Payra (150MW),,HFO,,150.0,,
40,RENTAL & SIPP,,"Power Pac Mutiara,Keranigonj,100MW",POWER PAC MUTIARA KERANIGONJ,,HFO,,100.0,,
