,own_x,own_y,plant_name,plant_name_alt,plant,fuel_type_x,fuel_type_y,capacity_mw,capacity,potential_name,potential_cap
0,Public,,Kutubdia 900KW Wind PP,"Wind Base Power Station, Kutubdia & Hatiya",,WIND,,0,,,163
1,IPP,IPP,Sharishabari 3 MW Engreen Solar Power Plant,Engreen Solar,Shorishabari Solar plant,SOLAR,SOLAR,3,3,Baraka-Patenga Chattogram 50 MW PP,50
2,IPP,IPP,Sympa Solar Power 8 MW,Sympa Solar Power Limited,"Majipara, Tetulia Solar plant",SOLAR,SOLAR,8,8,,
3,Public,BPDB,Kaptai Solar,7.4 MW Solar Pv Power Plant At Kaptai,Kaptai Solar Power Plant,SOLAR,SOLAR,7,7,Kaptai Solar Power Plant,7
4,RENTAL & SIPP,,Fenchugonj 50 MW Rental (Energy Prima),"ENERGYPRIMA, FENCHUGONJ",Fenchuganj 15 Years RPP (Barakatullah),GAS,,,,,51
5,RENTAL & SIPP,,Kumargao 10 MW Desh Combridge (15 Yrs),"DESH CAMBRIDGE, KUMERGOAN","Kumkargoan 50 MW PP (15 Years RPP)
( Desh Energy)",GAS,,10,10,,
6,RENTAL & SIPP,Private,Amnura 50MW Sinha Power,AMNURA(SINHA POWER GENERATION),"Amnura, Chapainawabgonj Q.RPP
(Sinha Power )",HFO,HFO,50,50,,20
7,IPP,,Powerpac Mutiara Jamalpur Power plant Ltd,Power Pac Motiara - Jamalpur,,HFO,,95,,,52
8,RENTAL & SIPP,IPP,Shahjahanullah Power Gen Co. Ltd.,Shahjanullah Power Generation Co. Ltd.,Shajanullah Power Company,GAS,GAS,,25,Shajanullah Power Company,25
9,Public,Public,Ashuganj 50 MW PP,APSCL (New 50 MW),Ashuganj 150 MW ST3,GAS,GAS,53,150,Ashuganj 225 CCPP: ST Unit,75
10,IPP,IPP,20 MW Solar Teknaf,Technaf Solartech Energy Ltd. (20MW),"Teknaf, Coxsbazar 20 MW Solar Park",SOLAR,SOLAR,20,20,"Teknaf, Coxsbazar 20 MW Solar Park",20
11,RENTAL & SIPP,Private,Barabkundu SIPP 22 MW (Regent Power),Regent Power Ltd.,Barobkundo SIPP (Regent Power),GAS,GAS,22,22,Barobkundo SIPP (Regent Power),22
12,RENTAL & SIPP,Private,Tangail SIPP (22 MW) (Doreen Power Ltd.),Doreen Power Generation & System Ltd.- Tangail,Tangail SIPP (Doreen),GAS,GAS,22,22,Tangail SIPP (Doreen),22
13,RENTAL & SIPP,Private,Feni SIPP (22 MW) (Doreen Power Ltd.),Doreen Power Generation & System Ltd.-Feni,Feni SIPP (Doreen),GAS,GAS,22,22,Feni SIPP (Doreen),22
14,IPP,IPP,Sinha Peoples Energy Ltd.Katpatti 52.5 MW Exp,Sinha People Energy Ltd.,"Kathpotti, Munshigonj 50 MW Power Plant",HFO,HFO,51,,,
15,RENTAL & SIPP,IPP,Khanjahan Ali Noapara  40 MW,KHANJAHAN ALI POWER LTD.,,HFO,HFO,,55,,
