,own_x,own_y,plant_name,plant_name_alt,plant,fuel_type_x,fuel_type_y,capacity_mw,capacity,potential_name,potential_cap
0,Public,,Kutubdia 900KW Wind PP,"Wind Base Power Station, Kutubdia & Hatiya",,WIND,,0.0,,Chandpur 150 MW CC Power Plant,163.0
1,IPP,IPP,Sharishabari 3 MW Engreen Solar Power Plant,Engreen Solar,Shorishabari Solar plant,SOLAR,SOLAR,3.0,3.0,Baraka-Patenga Chattogram 50 MW PP,50.0
2,IPP,IPP,Sympa Solar Power 8 MW,Sympa Solar Power Limited,"Majipara, Tetulia Solar plant",SOLAR,SOLAR,8.0,8.0,,
3,Public,BPDB,Kaptai Solar,7.4 MW Solar Pv Power Plant At Kaptai,Kaptai Solar Power Plant,SOLAR,SOLAR,7.0,7.0,Kaptai Solar Power Plant,7.0
4,RENTAL & SIPP,,Fenchugonj 50 MW Rental (Energy Prima),"ENERGYPRIMA, FENCHUGONJ",,GAS,,,,Fenchuganj 15 Years RPP (Barakatullah),51.0
5,RENTAL & SIPP,,Kumargao 10 MW Desh Combridge (15 Yrs),"DESH CAMBRIDGE, KUMERGOAN",,GAS,,10.0,,"Amnura, Chapainawabganj Power Plant",50.0
6,RENTAL & SIPP,Private,Amnura 50MW Sinha Power,AMNURA(SINHA POWER GENERATION),"Amnura, Chapainawabgonj Q.RPP
(Sinha Power )",HFO,HFO,50.0,50.0,Bogura 3 Years RPP (Energy Prima),20.0
7,IPP,,Powerpac Mutiara Jamalpur Power plant Ltd,Power Pac Motiara - Jamalpur,,HFO,,95.0,,Baghabari 50 MW Peaking PP,52.0
8,RENTAL & SIPP,IPP,Shahjahanullah Power Gen Co. Ltd.,Shahjanullah Power Generation Co. Ltd.,Shajanullah Power Company,GAS,GAS,,25.0,Shajanullah Power Company,25.0
9,Public,Public,Ashuganj 50 MW PP,APSCL (New 50 MW),Ashuganj 150 MW ST3,GAS,GAS,53.0,150.0,Ashuganj 225 CCPP: ST Unit,75.0
10,IPP,IPP,20 MW Solar Teknaf,Technaf Solartech Energy Ltd. (20MW),"Teknaf, Coxsbazar 20 MW Solar Park",SOLAR,SOLAR,20.0,20.0,"Teknaf, Coxsbazar 20 MW Solar Park",20.0
11,RENTAL & SIPP,Private,Barabkundu SIPP 22 MW (Regent Power),Regent Power Ltd.,Barobkundo SIPP (Regent Power),GAS,GAS,22.0,22.0,Barobkundo SIPP (Regent Power),22.0
12,RENTAL & SIPP,Private,Tangail SIPP (22 MW) (Doreen Power Ltd.),Doreen Power Generation & System Ltd.- Tangail,Tangail SIPP (Doreen),GAS,GAS,22.0,22.0,Tangail SIPP (Doreen),22.0
