,own_x,own_y,plant_name,plant_name_alt,plant,fuel_type_x,fuel_type_y,capacity_mw,capacity,potential_name,potential_cap
0,Public,,Kutubdia 900KW Wind PP,"Wind Base Power Station, Kutubdia & Hatiya",,WIND,,0,,,
1,IPP,IPP,Sharishabari 3 MW Engreen Solar Power Plant,Engreen Solar,Shorishabari Solar plant,SOLAR,SOLAR,3,3,,
2,IPP,IPP,Sympa Solar Power 8 MW,Sympa Solar Power Limited,"Majipara, Tetulia Solar plant",SOLAR,SOLAR,8,8,,
3,Public,BPDB,Kaptai Solar,7.4 MW Solar Pv Power Plant At Kaptai,Kaptai Solar Power Plant,SOLAR,SOLAR,7,7,Kaptai Solar Power Plant,7
4,RENTAL & SIPP,,Fenchugonj 50 MW Rental (Energy Prima),"ENERGYPRIMA, FENCHUGONJ",,GAS,,,,,
5,RENTAL & SIPP,,Kumargao 10 MW Desh Combridge (15 Yrs),"DESH CAMBRIDGE, KUMERGOAN",,GAS,,10,,,
6,RENTAL & SIPP,,Amnura 50MW Sinha Power,AMNURA(SINHA POWER GENERATION),,HFO,,50,,,
7,IPP,,Powerpac Mutiara Jamalpur Power plant Ltd,Power Pac Motiara - Jamalpur,,HFO,,95,,,
8,RENTAL & SIPP,,Shahjahanullah Power Gen Co. Ltd.,Shahjanullah Power Generation Co. Ltd.,,GAS,,,,Shajanullah Power Company,25
9,Public,Public,Ashuganj 50 MW PP,APSCL (New 50 MW),,GAS,GAS,53,97,Ashuganj Rental Power Plant,55
10,IPP,IPP,20 MW Solar Teknaf,Technaf Solartech Energy Ltd. (20MW),"Teknaf, Coxsbazar 20 MW Solar Park",SOLAR,SOLAR,20,20,,
11,RENTAL & SIPP,Private,Barabkundu SIPP 22 MW (Regent Power),Regent Power Ltd.,Barobkundo SIPP (Regent Power),GAS,GAS,22,22,Barobkundo SIPP (Regent Power),22
12,RENTAL & SIPP,Private,Tangail SIPP (22 MW) (Doreen Power Ltd.),Doreen Power Generation & System Ltd.- Tangail,Tangail SIPP (Doreen),GAS,GAS,22,22,Tangail SIPP (Doreen),22
13,RENTAL & SIPP,Private,Feni SIPP (22 MW) (Doreen Power Ltd.),Doreen Power Generation & System Ltd.-Feni,Feni SIPP (Doreen),GAS,GAS,22,22,Feni SIPP (Doreen),22
14,IPP,IPP,Sinha Peoples Energy Ltd.Katpatti 52.5 MW Exp,Sinha People Energy Ltd.,"Kathpotti, Munshigonj 50 MW Power Plant",HFO,HFO,51,51,,
15,RENTAL & SIPP,,Khanjahan Ali Noapara  40 MW,KHANJAHAN ALI POWER LTD.,,HFO,,,,,
16,IPP,IPP,Manikganj 35MW Spectra Solar Park Ltd.,Spectra Solar Park,Manikgonj 35 MW Solar PP,SOLAR,SOLAR,35,35,,
17,RENTAL & SIPP,,Bhola 32 MW (Venture Energy Resources Ltd.),"VENTURE ENERGY, BHOLA",,GAS,,33,,,
18,RENTAL & SIPP,Private,Bogura RPP (24MW) 15 yrs,GBB POWER LTD.,Bogura 15 Years RPP (GBB),GAS,GAS,22,20,Bogura 3 Years quick rental PP,20
19,Public,,Shikalbaha 150 MW Peaking PP,Shikalbaha Power Station (Gas Generation),,GAS,,,,,52
20,Public,Public,"Baghabari 71 MW /GT
Baghabari 100 MW /GT",Baghabari Power Station,Baghabari 71 MW GT,GAS,GAS,71,71,Baghabari 200 MW PP (Paramount),200
21,IMPORT,,Power Import (Bheramara-Bharampur Phase-1),Power Grid Corporation of India - 250MW,,IMPORT,,500,,,
22,Public,BPDB,Faridpur 50 MW Peaking PP,Faridpur Peacking Power Plant,Faridpur 50 MW Peaking PP,HFO,HFO,54,54,Faridpur 50 MW Peaking PP,54
23,RENTAL & SIPP,,Jangalia 33 MW (Summit Purbanchol Po. Co. Ltd.),Summit Purbachal Power Ltd.-Jangalia,,GAS,,33,,,
24,Public,EGCB,210 MW Shiddirganj TPP,Siddirgonj Power Station,Siddhirganj 335 MW CCPP,GAS,GAS,210,217,Siddirganj 335 MW CCPP ST Unit,118
25,IPP,IPP,Midland Power Co. Ashuganj 51 MW,Midland Power Company Ltd.,Ashuganj 51 MW PP,GAS,GAS,51,51,,
26,RENTAL & SIPP,,Ashugonj  55 MW 3Yrs Rental (Precision Energy),PRECISION ENERGY LTD.,,GAS,,55,,,
27,RENTAL & SIPP,,Aggreko 95 MW Bhola,AGGREKO INTERNATIONAL LTD.-BHOLA (95 MW),,GAS,,95,,,
28,IPP,IPP,50 MW HDFC Solar Power Plant,HDFC SinPower Ltd. (50MW),"Sutiakhali, mymensing 50 MW Solar PP",SOLAR,SOLAR,50,50,,
29,IPP,IPP,Regent Energy & Power Ltd 108 MW,Regent Energy & Power Ltd.,Kushiara 163 MW CCPP,GAS,GAS,108,109,,
30,Public,,RPCL Raozan 25 MW,RPCL 25MW Rawjan,,HFO,,25,,,
31,Public,Public,Siddhirganj 2x120 MW GTPP,EGCB Ltd. (210X2) MW,,GAS,,210,,,
32,Public,BPDB,Chandpur 150 MW CCPP,Chadpur CC Power Plant,Chandpur 150 MW CC Power Plant,GAS,GAS,163,163,Chandpur 150 MW CC Power Plant,163
33,RENTAL & SIPP,,Summit  Power Co. Ltd Madangonj (100 MW),SUMMIT NARAYANGONJ POWER LTD.,,HFO,,102,,,
34,RENTAL & SIPP,,KPCL( 115 MW) U-2,KPCL -UNIT-2,,HFO,,115,,,
35,Public,Public,Sirajgonj 210 MW CC (NWPGCL) Unit-1,North West Power Gen (NWPGCL)- Sirajgonj,Raojan 210 MW Unit- 2,GAS,GAS,210,210,Sirajganj 400±10 MW CCPP,132
36,RENTAL & SIPP,Private,Sahzibazar 86 MW RPP (15 yrs),SHAHJIBAZAR POWER CO. LTD.,Shahjibazar 86 MW PP (15 Yrs RPP),GAS,GAS,86,86,Shahjibazar 86 MW PP (15 Yrs RPP),86
37,IPP,IPP,Summit   Barishal (110 MW),Summit Barishal Power Ltd.,"Bosila, Keraniganj 108 MW PP",HFO,HFO,110,108,,
38,IPP,IPP,Tangail Polly Power 22 MW TPPGCl,Tangail Palli Power Generation Ltd. (22MW),Tangail 22 MW PP (Duel Fuel),HFO,HFO,22,22,,
39,IPP,IPP,United Payra PP Patuakhali Imp,United Payra (150MW),Potuakhali 150 MW PP,HFO,HFO,150,150,,
40,RENTAL & SIPP,,"Power Pac Mutiara,Keranigonj,100MW",POWER PAC MUTIARA KERANIGONJ,,HFO,,100,,,
41,Public,Public, Ashuganj TPP Unit-3,APSCL (Except New 573 MW),Ashuganj 150 MW ST4,GAS,GAS,150,150,Ashuganj 150 MW PP,150
42,Public,Public, Ashuganj TPP Unit-4,APSCL (Except New 573 MW),Ashuganj 150 MW ST3,GAS,GAS,150,150,Ashuganj 150 MW PP,150
43,Public,Public, Ashuganj TPP Unit-5,APSCL (Except New 573 MW),Ashuganj 150 MW ST3,GAS,GAS,150,150,Ashuganj 225 CCPP: ST Unit,75
44,Public,,Modhumoti 105 MW NWPGCL,North West Power Gen (NWPGCL)- Madhumati,,HFO,,105,,,
45,IPP,IPP,Kushiara power Co. Ltd (163MW)CCPP Fenchuganj,Kushiara Power Company Ltd.,Kushiara 163 MW CCPP,GAS,GAS,163,109,Kusiara 163 MW CCPP,54
46,RENTAL & SIPP,Private,Shiddirganj  Dutchbangla 100 MW,DUTCH BANGLA POWER & ASSOCIATES LTD.,"Siddirganj 100 MW Q.Rental PP
(5 Years, Dutch Bangla Power)",HFO,HFO,100,100,"Siddirganj 100 MW Q.Rental PP
(5 Years, Dutch Bangla Power)",100
47,IPP,Private,Haripur Power Ltd.,Haripur Power Ltd.,Haripur 360 CCPP,GAS,GAS,360,360,Haripur 32 MW GT1,32
48,IPP,IPP,Bhairab Power 54.5 MW,Bhairab Power Limited (54.50MW),Bhairab 54 MW PP,HFO,HFO,54,54,Bhairab 54 MW PP,54
49,IPP,IPP,Baraka Patenga,Baraka Patenga Power Limited,Cumilla (Jangalia) 50 MW PP,HFO,HFO,50,52,,
50,IPP,IPP,Lakdhanvi lanka- Bangla Jangalia Cumilla 52MW,Lakdhanvi Bangla Power Ltd.,Kamalaghat 50 MW PP,HFO,HFO,52,54,,
51,IPP,IPP,Raj Lanka Power Gen.Com. Ltd.Nator 55 MW,Raj Lanka Power Limited,"Natore, Rajshahi 50 MW PP",HFO,HFO,52,52,,
52,IPP,IPP,Noapara100MW (Bangla Trac),Bangla Track Power Company Ltd. (Unit-2),"Bramhongaon, Keraniganj 100 MW PP",HSD,HSD,100,100,Noapara 100 MW PP (Bangla Trac),100
53,Public,,Gazipur 52 MW PP,RPCL 52MW Gazipur,,HFO,,52,,Haripur 360 CCPP,360
54,RENTAL & SIPP,,Julda Acorn Infra.service Ltd.100MW,ACRON INFRASTRUCTURE SERVICE LTD.,,HFO,,100,,,
55,IPP,,Rural Power Company Ltd.(RPCL),RPC LTD. Mymensingh (210 MW),,GAS,,210,,Mymensingh 200 MW PP,200
56,IPP,IPP,"Aggreko, Brahmangaon 100MW",Aggreko Energy Solution Ltd. - Bhahmangoan (100MW),"Aowrahati, Keranigonj 100 MW PP",HSD,HSD,100,100,,
57,IPP,IPP,"Aggreko, Aourahati 100MW",Aggreko Energy Solution Ltd. - Aorahati (100MW),Noapara 100 MW PP,HSD,HSD,100,100,,
58,Public,,Sirajgonj 210 MW CC (NWPGCL) Unit-3,North West Power Gen (NWPGCL)- Sirajgonj (Unit - 3),,GAS,,220,,Sirajganj 400±10 MW CCPP,132
59,IPP,IPP,Dhaka(Doreen) Northern Power Ltd.Manikgonj,Doreen Northern Power Limited,Kamalaghat 50 MW PP,HFO,HFO,55,54,,
60,RENTAL & SIPP,BPDB,Katakhali (Northern) Peaking,NORTHERN POWER,Katakhali 50 MW Peaking Power Plant,HFO,HFO,50,50,Katakhali 50 MW Peaking Power Plant,50
61,Public,Public,Haripur 412 MW CCPP,EGCB Ltd. (412) MW,Haripur 32 MW GT1,GAS,GAS,412,32,Chandpur 115 MW Power Plant,115
62,IPP,IPP,Nutan Biddyut 220MW Bhola,Nutan Bidyut (Bangladesh) Ltd. (220MW),Bibiyana-II 341 MW CCPP : GT Unit,GAS,GAS,220,222,,
63,IPP,IPP,Summit Narayangonj Power unit-2 Madangonj (55 MW),Summit Narayangonj Power Unit II Ltd.,Kamalaghat 50 MW PP,HFO,HFO,55,54,,
64,IPP,IPP,Jodiac Power,Zodiac Power Ctg. Ltd.,Kamalaghat 50 MW PP,HFO,HFO,54,54,,
65,IPP,IPP,Dhaka(Doreen) Southern Power Ltd.Nobabgonj,Doreen Southern Power Limited,Kamalaghat 50 MW PP,HFO,HFO,55,54,,
66,Public,Public,Ashuganj 225 MW CCPP,APSCL (225 MW),Ashuganj 150 MW ST3,GAS,GAS,221,150,Ashuganj Rental Power Plant,55
67,IPP,IPP,Meghnaghat Power Ltd.,Meghnaghat Power Ltd.,Meghnaghat 583 MW CCPP,GAS,LNG,450,583,Meghnaghat quick rental PP,100
68,IPP,IPP,Feni Lanka Power 114 MW PP,Lanka Power Limited - Feni,Thakurgao 100 MW Power Plant,HFO,HFO,114,115,,
69,IPP,IPP,Paramount Baghabari BanglaTrack,Paramount BTrac Energy Ltd. - Sirajgonj,Baghabari 200 MW PP,HSD,HSD,200,200,,
70,Public,,Siddhirganj 335 MW CCPP,EGCB Ltd. (360) MW,,GAS,,335,,Siddhirganj 335 MW CCPP,217
71,Public,APSCL,Ashuganj 450 MW CCPP (North),APSCL (450 MW) North,Ashuganj 450 MW CCPP (South),GAS,GAS,360,360,Ashuganj 225 MW CCPP : SC GT Unit,142
72,IPP,IPP,Kamalaghat Banco Energy Generation,M/S Banco Energy Generation Ltd.,"Kanchan, Narayangonj 55 MW PP",HFO,HFO,54,55,,
73,IPP,,Summit Bibiyana - II Power Co Ltd. 341 MW,Summit Bibiyana II Power Company Ltd.,,GAS,,341,,,
