,est,own,plant_name,capacity_mw,costs_p1,costs_p2
138,,IPP,20 MW Solar Teknaf,20,,Technaf Solartech Energy Ltd. (20MW)
8,,PUBLIC,210 MW Shiddirganj TPP,210,Siddirgonj Power Station,1
140,,IPP,50 MW HDFC Solar Power Plant,50,HDFC SinPower Ltd. (50MW),1
160,,RENTAL/SIPP,Aggreko 95 MW Bhola,95,AGGREKO INTERNATIONAL LTD.-BHOLA (95 MW),1
134,,IPP,"Aggreko, Aourahati 100MW",100,Aggreko Energy Solution Ltd. - Aorahati (100MW),1
135,,IPP,"Aggreko, Brahmangaon 100MW",100,Aggreko Energy Solution Ltd. - Bhahmangoan (100MW),1
166,,RENTAL/SIPP,Amnura 50MW Sinha Power,50,AMNURA(SINHA POWER GENERATION),1
127,,IPP,Anlima Chattogram 116 MW,116,Anlima Energy Limited (116MW),1
131,,IPP,APR Energy 300MW,300,APR Energy 300MW,1
34,,PUBLIC,Ashuganj 225 MW CCPP,221,,APSCL (225 MW)
36,,PUBLIC,Ashuganj 450 MW CCPP (North),360,,APSCL (450 MW) North
35,,PUBLIC,Ashuganj 450 MW CCPP (South),360,,APSCL (450 MW) South
33,,PUBLIC,Ashuganj 50 MW PP,53,,APSCL (New 50 MW)
30,1986,PUBLIC,Ashuganj TPP Unit-3,150,,APSCL (Except New 573 MW)
31,1987,PUBLIC,Ashuganj TPP Unit-4,150,,APSCL (Except New 573 MW)
32,1988,PUBLIC,Ashuganj TPP Unit-5,150,,APSCL (Except New 573 MW)
151,,RENTAL/SIPP,Ashugonj  55 MW 3Yrs Rental (Precision Energy),55,,PRECISION ENERGY LTD.
113,,IPP,Ashugonj 150 MW (Midland East),150,,Midland East Power Company Ltd.
63,,PUBLIC,Baghabari 50 MW Peaking RE,52,Baghabari 50 Peaking Power Plant,1
59,,PUBLIC,"Baghabari 71 MW /GT
Baghabari 100 MW /GT",71,Baghabari Power Station,1
156,,RENTAL/SIPP,Barabkundu SIPP 22 MW (Regent Power),22,,Regent Power Ltd.
96,,IPP,Baraka Patenga,50,Baraka Patenga Power Limited,1
116,,IPP,Baraka Shikalbaha 105MW PS,105,Baraka Shikalbaha Power Ltd. (105MW),1
75,,PUBLIC,"Barapukuria Coal based S/T (unit 1,2)",250,Barapukuria Power Station 1,1
76,,PUBLIC,Barapukuria Coal based S/T (unit 3),274,Barapukuria Power Station 2,1
64,,PUBLIC,Bera 70 MW Peaking RE,71,Bera Peacking Power Plant,1
129,,IPP,Bhairab Power 54.5 MW,54,Bhairab Power Limited (54.50MW),1
