Unnamed: 0,plant_name,capacity_mw,start,own_IPP,own_Joint venture,own_Public,own_RENTAL & SIPP,fuel_GAS,fuel_HFO,fuel_HSD,fuel_HYDRO,fuel_SOLAR,fuel_WIND,units,usage,cost_per_unit,year
0,Kumargao 10 MW Desh Combridge (15 Yrs),10,2009.0,False,False,False,True,True,False,False,False,False,False,61.4628,0.7,3.84,2021
1,Bogura 20 RPP (3 Yrs) Energy Prima,20,2011.0,False,False,False,True,True,False,False,False,False,False,30.3411,0.17,3.47,2021
2,Barabkundu SIPP 22 MW (Regent Power),22,2009.0,False,False,False,True,True,False,False,False,False,False,157.7652,0.82,2.94,2021
3,Tangail SIPP (22 MW) (Doreen Power Ltd.),22,2008.0,False,False,False,True,True,False,False,False,False,False,141.1988,0.73,2.86,2021
4,Feni SIPP (22 MW) (Doreen Power Ltd.),22,2009.0,False,False,False,True,True,False,False,False,False,False,160.0048,0.83,2.87,2021
5,Bogura RPP (24MW) 15 yrs,22,2008.0,False,False,False,True,True,False,False,False,False,False,167.4902,0.87,,2021
6,Bhola 32 MW (Venture Energy Resources Ltd.),33,2009.0,False,False,False,True,True,False,False,False,False,False,199.538,0.69,3.99,2021
7,Jangalia 33 MW (Summit Purbanchol Po. Co. Ltd.),33,2009.0,False,False,False,True,True,False,False,False,False,False,258.2576,0.89,3.65,2021
8,Amnura 50MW Sinha Power,50,2012.0,False,False,False,True,False,True,False,False,False,False,34.312,0.08,6.66,2021
9,Katakhali (Northern) Peaking,50,2012.0,False,False,False,True,False,True,False,False,False,False,21.6708,0.05,10.5,2021
10,Fenchugonj 51 MW Rental (15 Yrs) (Barakatullah),51,2009.0,False,False,False,True,True,False,False,False,False,False,353.0717,0.79,3.12,2021
11,Ashugonj  55 MW 3Yrs Rental (Precision Energy),55,2010.0,False,False,False,True,True,False,False,False,False,False,208.8067,0.43,5.23,2021
12,Sahzibazar 86 MW RPP (15 yrs),86,2009.0,False,False,False,True,True,False,False,False,False,False,605.4847,0.8,3.37,2021
13,Shiddirganj  Dutchbangla 100 MW,100,2011.0,False,False,False,True,False,True,False,False,False,False,366.3626,0.42,12.53,2021
14,Julda Acorn Infra.service Ltd.100MW,100,2018.0,False,False,False,True,False,True,False,False,False,False,189.9422,0.22,16.49,2021
15,"Power Pac Mutiara,Keranigonj,100MW",100,2011.0,False,False,False,True,False,True,False,False,False,False,217.866,0.25,8.23,2021
16,Summit  Power Co. Ltd Madangonj (100 MW),102,2011.0,False,False,False,True,False,True,False,False,False,False,353.3363,0.4,9.72,2021
17,KPCL( 115 MW) U-2,115,2011.0,False,False,False,True,False,True,False,False,False,False,433.6464,0.43,11.53,2021
18,Fenchugonj 50 MW Rental (Energy Prima),44,2009.0,False,False,False,True,True,False,False,False,False,False,219.7947,0.86,3.27,2021
19,Shahjahanullah Power Gen Co. Ltd.,25,2013.0,False,False,False,True,True,False,False,False,False,False,102.6552,0.47,3.45,2021
20,Khanjahan Ali Noapara  40 MW,40,2011.0,False,False,False,True,False,True,False,False,False,False,92.2828,0.29,14.77,2021
21,Ghorashal 78 MW QRPP (3 Yrs Max Power),78,2011.0,False,False,False,True,True,False,False,False,False,False,102.4493,0.35,7.92,2021
22,Kutubdia 900KW Wind PP,0,2008.0,False,False,True,False,False,False,False,False,False,True,0.6083,,6.18,2021
23, Ghorasal TPP Unit-6,0,2022.0,False,False,True,False,True,False,False,False,False,False,-2.206,,3.13,2021
24,Sharishabari 3 MW Engreen Solar Power Plant,3,2017.0,True,False,False,False,False,False,False,False,True,False,3.9442,0.15,16.11,2021
25,Kaptai Solar,7,2019.0,False,False,True,False,False,False,False,False,True,False,9.7123,0.159,5.79,2021
26,Sympa Solar Power 8 MW,8,2019.0,True,False,False,False,False,False,False,False,True,False,11.269,0.16,11.04,2021
27,20 MW Solar Teknaf,20,2018.0,True,False,False,False,False,False,False,False,True,False,33.4382,0.19,11.8,2021
28,Saidpur 20 MW /GT,20,1987.0,False,False,True,False,False,False,True,False,False,False,2.0647,0.013,95.47,2021
29,Sylhet 1x20 MW /GT,20,1986.0,False,False,True,False,True,False,False,False,False,False,111.0293,0.637,3.78,2021
30,Bheramara GT unit-3,20,1980.0,False,False,True,False,False,False,True,False,False,False,-0.1532,0.0,,2021
31,Rangpur 20 MW /GT,20,1988.0,False,False,True,False,False,False,True,False,False,False,1.4037,0.009,150.66,2021
32,Tangail Polly Power 22 MW TPPGCl,22,2020.0,True,False,False,False,False,True,False,False,False,False,74.9804,0.39,12.43,2021
33,Haripur GTPP,32,,False,False,True,False,True,False,False,False,False,False,-0.4225,,,2021
34,Manikganj 35MW Spectra Solar Park Ltd.,35,2021.0,True,False,False,False,False,False,False,False,True,False,29.1477,0.1,10.36,2021
35,50 MW HDFC Solar Power Plant,50,2020.0,True,False,False,False,False,False,False,False,True,False,64.8588,0.15,14.38,2021
36,Baraka Patenga,50,2014.0,True,False,False,False,False,True,False,False,False,False,198.9216,0.45,11.88,2021
37,Santahar 50 MW PP,50,2012.0,False,False,True,False,False,True,False,False,False,False,42.8089,0.1,21.57,2021
38,Sinha Peoples Energy Ltd.Katpatti 52.5 MW Exp,51,2015.0,True,False,False,False,False,True,False,False,False,False,21.3606,0.05,38.65,2021
39,Midland Power Co. Ashuganj 51 MW,51,2013.0,True,False,False,False,True,False,False,False,False,False,294.124,0.66,3.16,2021
40,Titas 50 MW Peaking PP,52,2011.0,False,False,True,False,False,True,False,False,False,False,45.1598,0.104,17.0,2021
41,Lakdhanvi lanka- Bangla Jangalia Cumilla 52MW,52,2014.0,True,False,False,False,False,True,False,False,False,False,158.5054,0.35,13.99,2021
42,Raj Lanka Power Gen.Com. Ltd.Nator 55 MW,52,2012.0,True,False,False,False,False,True,False,False,False,False,146.3081,0.32,12.35,2021
43,Gazipur 52 MW PP,52,2012.0,False,False,True,False,False,True,False,False,False,False,112.6812,0.255,15.93,2021
44,Baghabari 50 MW Peaking RE,52,1991.0,False,False,True,False,False,True,False,False,False,False,85.4892,0.191,14.52,2021
45,Ashuganj 50 MW PP,53,1986.0,False,False,True,False,True,False,False,False,False,False,184.7955,0.483,2.38,2021
46,Faridpur 50 MW Peaking PP,54,2011.0,False,False,True,False,False,True,False,False,False,False,15.5429,0.037,46.96,2021
47,Bhairab Power 54.5 MW,54,2021.0,True,False,False,False,False,True,False,False,False,False,70.3824,0.15,12.48,2021
