,plant_name,capacity_mw,start,own_IPP,own_Joint_venture,own_Public,own_RENTAL_SIPP,fuel_GAS,fuel_HFO,fuel_HSD,fuel_HYDRO,fuel_SOLAR,fuel_WIND,district_code,units,usage,cost_per_unit,year,fuel_Coal
0,Bibiyana - South  383 MW CCPP,383.0,2021.0,False,False,True,False,True,False,False,False,False,False,habiganj,1351.3021,0.406,1.95,2021,False
1,Shahjibazar 330 MW CCPP,330.0,2016.0,False,False,True,False,True,False,False,False,False,False,habiganj,1505.2982,0.546,2.84,2021,False
2,"Sangu, Dohazari-kaliaish 100 MW PPP",102.0,2011.0,False,False,True,False,False,True,False,False,False,False,chattogram,203.2578,0.234,13.4,2021,False
3,Khanjahan Ali Noapara  40 MW,40.0,2011.0,False,False,False,True,False,True,False,False,False,False,jessore,92.2828,0.29,14.77,2021,False
4,Ghorashal 78 MW QRPP (3 Yrs Max Power),78.0,2011.0,False,False,False,True,True,False,False,False,False,False,narsingdi,102.4493,0.35,7.92,2021,False
5, Ghorasal TPP Unit-5,210.0,1989.0,False,False,True,False,True,False,False,False,False,False,narsingdi,963.6894,0.62,3.13,2021,False
6, Ghorasal Repowered CCPP Unit-4,210.0,2022.0,False,False,True,False,True,False,False,False,False,False,narsingdi,280.5226,0.197,3.13,2021,False
7, Ghorasal Repowered CCPP Unit-3,260.0,2021.0,False,False,True,False,True,False,False,False,False,False,narsingdi,47.1487,0.023,3.13,2021,False
8, Ghorasal TPP Unit-6,0.0,2022.0,False,False,True,False,True,False,False,False,False,False,narsingdi,-2.206,0.0,3.13,2021,False
9,Ghorasal 365 MW CCPP Unit-7,365.0,2018.0,False,False,True,False,True,False,False,False,False,False,narsingdi,1315.1245,0.434,3.35,2021,False
10,Bera 70 MW Peaking RE,71.0,2011.0,False,False,True,False,False,True,False,False,False,False,pabna,31.2907,0.052,32.75,2021,False
11,Baghabari 50 MW Peaking RE,52.0,1991.0,False,False,True,False,False,True,False,False,False,False,sirajgonj,85.4892,0.191,14.52,2021,False
12,"Baghabari 71 MW /GT
Baghabari 100 MW /GT",71.0,1991.0,False,False,True,False,True,False,False,False,False,False,rajshahi,57.6144,0.18,9.01,2021,False
13,Kaptai Solar,7.0,2019.0,False,False,True,False,False,False,False,False,True,False,chattogram,9.7123,0.159,5.79,2021,False
14,Shikalbaha 225 MW PS,225.0,2017.0,False,False,True,False,True,False,False,False,False,False,chattogram,1014.6721,0.536,2.98,2021,False
15,Bhola 225 MW CCPP,194.0,2015.0,False,False,True,False,True,False,False,False,False,False,bhola,315.2895,0.201,6.49,2021,False
16,Rauzan 210 MW /ST (1st),210.0,1997.0,False,False,True,False,True,False,False,False,False,False,chattogram,403.4491,0.297,5.2,2021,False
17,Rauzan 210 MW /ST (2nd),210.0,1997.0,False,False,True,False,True,False,False,False,False,False,chattogram,0.0,0.0,5.2,2021,False
18,Kutubdia 900KW Wind PP,0.9,2008.0,False,False,True,False,False,False,False,False,False,True,cox,0.6083,0.0,6.18,2021,False
