,Own,plant_name,2021_units,2021_amount,2021_cost_per_unit
31,PUBLIC,7.4 MW Solar Pv Power Plant At Kaptai,9712274,56235351,5.79
128,IPP & SIPP,ACE Alliance Power Ltd. (149MW) (Summit Gazipur),791750046,8370704611,10.57
78,IPP & SIPP,Acron Infracture Service Ltd. (Unit-3),610561267,6065069101,9.93
16,RENTAL,ACRON INFRASTRUCTURE SERVICE LTD.,189942210,3132864948,16.49
105,IPP & SIPP,Acron Infrastructure Services Ltd. Unit-2,687711168,7359103192,10.7
127,IPP & SIPP,Aggreko Energy Solution Ltd - Bhola (95MW),,,
73,IPP & SIPP,Aggreko Energy Solution Ltd. - Aorahati (100MW),37076045,2377751737,64.13
74,IPP & SIPP,Aggreko Energy Solution Ltd. - Bhahmangoan (100MW),28478637,2164581074,76.01
20,RENTAL,AGGREKO INTERNATIONAL LTD.-BHOLA (95 MW),559103805,2310334606,4.13
17,RENTAL,AMNURA(SINHA POWER GENERATION),16256328,108212126,6.66
99,IPP & SIPP,Anlima Energy Limited (116MW),123670544,1768065136,14.3
75,IPP & SIPP,APR Energy 300MW,72053121,6405636446,88.9
145,PUBLIC,APSCL (225 MW),1574330675,5139666301,3.26
147,PUBLIC,APSCL (450 MW) North,2088923729,5900126978,2.82
146,PUBLIC,APSCL (450 MW) South,1955572989,7571323434,3.87
143,PUBLIC,APSCL (Except New 573 MW),711938656,3725662841,5.23
144,PUBLIC,APSCL (New 50 MW),184795542,439275908,2.38
54,PUBLIC,Baghabari 50 Peaking Power Plant,85489209,1241686821,14.52
32,PUBLIC,Baghabari Power Station,110150010,992715721,9.01
141,IPP & SIPP,Bangla Track Power Company Ltd.,39585792,4185097685,105.72
142,IPP & SIPP,Bangla Track Power Company Ltd. (Unit-2),122851008,3855255637,31.38
96,IPP & SIPP,Bangladsh -China Power Company (Pvt.) Ltd. 1320MW,3811921991,32764848584,8.6
118,IPP & SIPP,Baraka Patenga Power Limited,198921600,2363521802,11.88
84,IPP & SIPP,Baraka Shikalbaha Power Ltd. (105MW),159651421,2774600010,17.38
51,PUBLIC,Barapukuria Power Station 1,86490537,971847293,11.24
52,PUBLIC,Barapukuria Power Station 2,1098325916,9681794240,8.82
65,PUBLIC,Barishal Gas Turbine Power Station,-230555,105123574,
0,RENTAL,BARKATULLAH ELECTRO DYNAMICS LTD.,353071710,1101899564,3.12
55,PUBLIC,Bera Peacking Power Plant,31290740,1024671785,32.75
104,IPP & SIPP,Bhairab Power Limited (54.50MW),70305840,877217319,12.48
64,PUBLIC,Bheramara Power Station,-153245,215299420,
44,PUBLIC,Bhola 225 MW CCPP,315289459,2046831372,6.49
66,PUBLIC,Bhola Diesel Power Station (Closed),,30157997,
48,PUBLIC,Bibiyana - South,1351302135,2630938263,1.95
46,PUBLIC,Bibiyana-3 400MW,1839712000,3754277784,2.04
158,PUBLIC,BPDB RPCL PowerGen Ltd.,387788703,5857190239,15.1
43,PUBLIC,Chadpur CC Power Plant,596516880,2118526788,3.55
63,PUBLIC,Chapainobabgonj Peaking Pp 100 MW Amnura,259431440,3242149031,12.5
35,PUBLIC,"Chittagong Power Station, Rawzan",403449100,2099326841,5.2
137,IPP & SIPP,CLC Power Company Ltd.,,,
85,IPP & SIPP,Confidence Power Ltd. - Rangpur,494399990,5671576724,11.47
86,IPP & SIPP,Confidence Power Ltd. (Unit-1),468193056,5469183763,11.68
87,IPP & SIPP,Confidence Power Ltd. (Unit-2) - Bogra,447810720,5606954875,12.52
2,RENTAL,"DESH CAMBRIDGE, KUMERGOAN",61412951,235977144,3.84
82,IPP & SIPP,Desh Energy Chandpur Power Company Ltd.,535499933,7266737367,13.57
72,PUBLIC,"Dgd, Dhaka",,118501877,
119,IPP & SIPP,Digital Power & Associates Ltd.,325564002,3736039993,11.48
57,PUBLIC,Dohazari Peacking Power Plant,203257800,2723891885,13.4
134,IPP & SIPP,Doreen Northern Power Limited,231844112,2641124870,11.39
112,IPP & SIPP,Doreen Power Generation & System Ltd.- Tangail,151198828,432331158,2.86
111,IPP & SIPP,Doreen Power Generation & System Ltd.-Feni,160004772,459479489,2.87
133,IPP & SIPP,Doreen Southern Power Limited,237896381,2684321524,11.28
15,RENTAL,DUTCH BANGLA POWER & ASSOCIATES LTD.,366362581,4588701719,12.53
125,IPP & SIPP,ECPV Power Ltd.,190254480,2569220856,13.5
149,PUBLIC,EGCB Ltd. (210X2) MW,563946120,2694566404,4.78
151,PUBLIC,EGCB Ltd. (360) MW,1039616357,3656399175,3.52
150,PUBLIC,EGCB Ltd. (412) MW,1803485796,5421654625,3.01
13,RENTAL,ENERGIS POWER CORPORATION LTD.,,,
6,RENTAL,"ENERGYPRIMA, BOGRA",27878796,96666127,3.47
5,RENTAL,"ENERGYPRIMA, FENCHUGONJ",208743147,681674489,3.27
3,RENTAL,"ENERGYPRIMA, KUMERGOAN",,,
4,RENTAL,"ENERGYPRIMA, SHAHJIBAZAR",,,
138,IPP & SIPP,Engreen Solar,3944220,63523756,16.11
58,PUBLIC,Faridpur Peacking Power Plant,15542880,729884028,46.96
39,PUBLIC,Fenchuganj 2x 90 MW CCPP (1st & 2nd Unit),637015112,2302166239,3.61
21,RENTAL,GBB POWER LTD.,167490216,656939574,
33,PUBLIC,Ghorashal Power Station 630MW,1319311198,4128006661,3.13
34,PUBLIC,Ghorashal Power Station 365MW,1315124459,4406810035,3.35
59,PUBLIC,Gopalgonj Peaking Power Plant,4132618,904161859,218.79
109,IPP & SIPP,Haripur Power Ltd.,2315379010,3878445190,1.68
56,PUBLIC,Hathazari Peacking Power Plant,-856680,357032315,
71,PUBLIC,Hatiya Diesel Generator,3516750,234243867,66.61
98,IPP & SIPP,HDFC SinPower Ltd. (50MW),61439464,883676770,14.38
95,IPP & SIPP,HF Power Company Limited,551060311,5951666116,10.8
12,RENTAL,IELCONSOURTIUM & ASSOCIATES,270990720,3813956693,14.07
29,PUBLIC,Karnafuli Hydro Power Station,654990772,1964677501,3
93,IPP & SIPP,Karnaphuli Power Ltd.,85058900,2177111311,25.6
62,PUBLIC,Katakhali 50MW Power Plant,51438387,981043441,19.07
11,RENTAL,KHANJAHAN ALI POWER LTD.,92282785,1363243262,14.77
53,PUBLIC,Khulna Power Station,,348428157,
10,RENTAL,KPCL -UNIT-2,433646409,4998784772,11.53
37,PUBLIC,Kumergoan Gt Power Sylhet,111029330,419366446,3.78
139,IPP & SIPP,Kushiara Power Company Ltd.,1065571452,3184203020,2.99
69,PUBLIC,Kutubdia Diesel Generator,,152083831,
124,IPP & SIPP,Lakdhanvi Bangla Power Ltd.,159349441,2229819012,13.99
94,IPP & SIPP,Lanka Power Limited - Feni,193243406,2993516085,15.49
140,IPP & SIPP,M/S Banco Energy Generation Ltd.,309349044,3548402788,11.47
97,IPP & SIPP,Manikgonj Power Generations Limited (162MW),344555626,4667375064,13.55
9,RENTAL,MAX POWER LTD.-GHORASAL,102449279,811772815,7.92
110,IPP & SIPP,Meghnaghat Power Ltd.,2276324250,6238656026,2.74
83,IPP & SIPP,Midland East Power Company Ltd.,410347432,5106156835,12.44
116,IPP & SIPP,Midland Power Company Ltd.,294124026,930353155,3.16
156,PUBLIC,North West Power Gen (NWPGCL)- Bheramara,2706234738,7636097844,2.82
155,PUBLIC,North West Power Gen (NWPGCL)- Khulna,279080308,7770389923,27.84
157,PUBLIC,North West Power Gen (NWPGCL)- Madhumati,11607408,1485423700,127.97
152,PUBLIC,North West Power Gen (NWPGCL)- Sirajgonj,216329490,2382001459,11.01
153,PUBLIC,North West Power Gen (NWPGCL)- Sirajgonj (Unit - 2),1135656573,4351973695,3.83
154,PUBLIC,North West Power Gen (NWPGCL)- Sirajgonj (Unit - 3),1447005461,4890841676,3.38
19,RENTAL,NORTHERN POWER,21344414,224115126,10.5
103,IPP & SIPP,Nutan Bidyut (Bangladesh) Ltd. (220MW),160931128,284039503,1.76
23,IMPORT,NVVN Ltd. - India 160 MW (Tripura),1028817960,7420242117,3.13
22,IMPORT,NVVN Ltd. - India 250 MW,1753307564,5479226567,
26,IMPORT,NVVN Ltd. - India 300 MW,2539050000,14200174815,
81,IPP & SIPP,Orion Power Rupsha Ltd. - Khulna (105MW),361167408,4586519321,12.7
106,IPP & SIPP,Orion Power Sonargaon Ltd.,451901664,5095211408,11.28
80,IPP & SIPP,Paramount BTrac Energy Ltd. - Sirajgonj,21514556,3887016999,180.67
25,IMPORT,Power Grid Corporation of India - 160MW,,179663490,
24,IMPORT,Power Grid Corporation of India - 250MW,,993616464,7.21
135,IPP & SIPP,Power Pac Motiara - Jamalpur,289737408,3268082838,11.28
18,RENTAL,POWER PAC MUTIARA KERANIGONJ,217866024,1792998493,8.23
14,RENTAL,PRECISION ENERGY LTD.,208806744,1091909673,5.23
