,own,plant_name_x,fuel_type,capacity_mw,net_generation_gwh,usage,match_name_plants,plant_name_y,costs_name,2021_units,2021_amount,2021_cost_per_unit,2022_units,2022_amount,2022_cost_per_unit,costs_name_2022
15,Public,Kutubdia 900KW Wind PP,Wind,0,0.6083,,,,"Wind Base Power Station, Kutubdia & Hatiya",661410,4085793,6.18,599901,1531007,422,"Wind Base Power Station, Kutubdia 900KW"
121,IPP,Sharishabari 3 MW Engreen Solar Power Plant,Solar,3,3.9442,0.15,Sharishabari 3 MW Engreen Solar Power Plant,Sharishabari 3 MW Engreen Solar Power Plant,Engreen Solar,3944220,63523756,16.11,3997213,65644538,16.42,
123,IPP,Sympa Solar Power 8 MW,Solar,8,11.269,0.16,Sympa Solar Power 8 MW,Sympa Solar Power 8 MW,Sympa Solar Power Limited,11268182,124366922,11.04,11994460,135093706,11.26,
16,Public,Kaptai Solar,Solar,7,9.7123,0.159,,,7.4 MW Solar Pv Power Plant At Kaptai,9712274,56235351,5.79,"9)20,827",143521777,1556,7.4 MWSolar PVPower Plant at Kaptai
138,RENTAL & SIPP,Fenchugonj 50 MW Rental (Energy Prima),GAS,,219.7947,0.86,Fenchugonj 50 MW Rental (Energy Prima),Fenchugonj 50 MW Rental (Energy Prima),"ENERGYPRIMA, FENCHUGONJ",208743147,681674489,3.27,48318547,146415205,3.03,
136,RENTAL & SIPP,Kumargao 10 MW Desh Combridge (15 Yrs),GAS,10,61.4628,0.7,Kumargao 10 MW Desh Combridge (15 Yrs),Kumargao 10 MW Desh Combridge (15 Yrs),"DESH CAMBRIDGE, KUMERGOAN",61412951,235977144,3.84,75345178,273009147,3.62,
149,RENTAL & SIPP,Amnura 50MW Sinha Power,F.oil,50,34.312,0.08,Amnura 50MW Sinha Power,Amnura 50MW Sinha Power,AMNURA(SINHA POWER GENERATION),16256328,108212126,6.66,20839351,274117988,13.15,
88,IPP,Powerpac Mutiara Jamalpur Power plant Ltd,F.Oil,95,289.7374,0.35,Powerpac Mutiara Jamalpur Power plant Ltd,Powerpac Mutiara Jamalpur Power plant Ltd,Power Pac Motiara - Jamalpur,289737408,3268082838,11.28,13945632,307097193,22.02,
142,RENTAL & SIPP,Shahjahanullah Power Gen Co. Ltd.,GAS,,102.6552,0.47,Shahjahanullah Power Gen Co. Ltd.,Shahjahanullah Power Gen Co. Ltd.,Shahjanullah Power Generation Co. Ltd.,102686146,354266198,3.45,119664201,413061164,3.45,
28,Public,Ashuganj 50 MW PP,Gas,53,184.7955,0.483,Ashuganj 50 MW PP,Ashuganj 50 MW PP,APSCL (New 50 MW),184795542,439275908,2.38,194969682,417729941,2.14,
61,IPP,20 MW Solar Teknaf,Solar,20,33.4382,0.19,,,Technaf Solartech Energy Ltd. (20MW),33438191,394598682,11.8,37555078,452146681,12.04,Technaf Solartech Energy Ltd.(20MW)
66,RENTAL & SIPP,Barabkundu SIPP 22 MW (Regent Power),GAS,22,157.7652,0.82,,,Regent Power Ltd.,157765152,463450991,2.94,147081880,453755759,3.09,Regent  Power Ltd.
64,RENTAL & SIPP,Tangail SIPP (22 MW) (Doreen Power Ltd.),GAS,22,141.1988,0.73,,,Doreen Power Generation & System Ltd.- Tangail,151198828,432331158,2.86,156351263,462019663,2.96,Doreen Power Generation& System Ltd.-Tangail
132,RENTAL & SIPP,Feni SIPP (22 MW) (Doreen Power Ltd.),GAS,22,160.0048,0.83,Feni SIPP (22 MW) (Doreen Power Ltd.),Feni SIPP (22 MW) (Doreen Power Ltd.),Doreen Power Generation & System Ltd.-Feni,160004772,459479489,2.87,161137638,467524474,2.9,
83,IPP,Sinha Peoples Energy Ltd.Katpatti 52.5 MW Exp,F.Oil,51,21.3606,0.05,Sinha Peoples Energy Ltd.Katpatti 52.5 MW Exp,Sinha Peoples Energy Ltd.Katpatti 52.5 MW Exp,Sinha People Energy Ltd.,21026448,812740081,38.65,25438560,497991030,19.58,
68,RENTAL & SIPP,Khanjahan Ali Noapara  40 MW,F.oil,,92.2828,0.29,,,KHANJAHAN ALI POWER LTD.,92282785,1363243262,14.77,29896435,586325265,"19,61",KHANJAHAN ALIPOWER LTD.
