,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
const,-0.273779431274518,0.6136504056693957,-0.44614886382396807,0.6563214022714894,-1.4891913811413207,0.9416325185922846
net_generation_gwh,0.2002817293722464,0.05454003369921924,3.6721966560705206,0.00036511947973648536,0.09225832045449496,0.30830513828999784
usage,-0.31256370348163304,0.062233518294224174,-5.022433441797581,1.8663297043327363e-06,-0.43582502803749923,-0.18930237892576685
own_IPP,-0.05970888412642111,0.1694158987444908,-0.3524396740147316,0.7251480836549253,-0.3952584184037805,0.2758406501509383
own_Joint venture,0.9375872040782759,0.5270120546579956,1.7790621595681013,0.07784870044831015,-0.10622657496821553,1.9814009831247672
own_RENTAL & SIPP,-0.2001820522116265,0.20943109996146214,-0.9558372765480505,0.3411422052537284,-0.6149867345115453,0.2146226300882923
fuel_HFO,1.1190331122854258,0.1758186113672681,6.364702255257117,4.0504697505318026e-09,0.7708021989013457,1.4672640256695058
fuel_HSD,2.2337976315315924,0.3229820690477172,6.916166083515838,2.6966521008627253e-10,1.5940909472590001,2.8735043158041846
fuel_HYDRO,-0.5252465841414378,0.6929960082641246,-0.7579359446198257,0.4500263749054323,-1.8978124976853568,0.8473193294024812
fuel_IMPORT,-0.10569340897000368,0.5752338536065853,-0.18373989692597203,0.8545383052130792,-1.2450165368977313,1.033629718957724
fuel_SOLAR,1.1037610432301275,0.33187409494112236,3.3258427218489146,0.0011808580841028862,0.44644258125882996,1.761079505201425
fuel_WIND,1.654433134099452,0.7020246682995299,2.356659543185115,0.02011661827769126,0.26398482172236326,3.044881446476541
age,0.04709521751164064,0.07312612668477589,0.644027239602797,0.5208291449330442,-0.09774029045677346,0.19193072548005474
interaction_capacity_usage,-0.003951174538176609,0.0017521251278883466,-2.2550755509902123,0.026004481661335493,-0.007421479125972635,-0.0004808699503805829
log_usage_squared,-0.007149361231513177,0.029830530336649737,-0.23966591109275331,0.8110122417778751,-0.06623248528237774,0.05193376281935139
log_age_squared,-0.008130091212402348,0.029863206317262452,-0.2722444176298224,0.7859180830549523,-0.06727793416012315,0.05101775173531846
log_net_generation_gwh_squared,0.03405785775904746,0.04065912891439983,0.837643566608372,0.4039534572703166,-0.046472670204719804,0.11458838572281473
