,Unnamed: 0,own_x,own_y,plant_name,plant_name_alt,plant,fuel_type_x,fuel_type_y,capacity_mw,capacity_x,potential_name,potential_cap,start,fuel_type,own,capacity_y,end
0,1,IPP,IPP,Sharishabari 3 MW Engreen Solar Power Plant,Engreen Solar,Shorishabari Solar plant,SOLAR,SOLAR,3.0,3.0,Baraka-Patenga Chattogram 50 MW PP,50.0,"03 August, 2017",Solar,IPP,3.0,
1,2,IPP,IPP,Sympa Solar Power 8 MW,Sympa Solar Power Limited,"Majipara, Tetulia Solar plant",SOLAR,SOLAR,8.0,8.0,,,"23 July, 2019",Solar,IPP,8.0,
2,3,Public,BPDB,Kaptai Solar,7.4 MW Solar Pv Power Plant At Kaptai,Kaptai Solar Power Plant,SOLAR,SOLAR,7.0,7.0,Kaptai Solar Power Plant,7.0,"28 May, 2019",Solar,BPDB,7.0,
3,4,RENTAL & SIPP,,Fenchugonj 50 MW Rental (Energy Prima),"ENERGYPRIMA, FENCHUGONJ",Fenchuganj 15 Years RPP (Barakatullah),GAS,,,,,51.0,2009-10-24 00:00:00,Gas,Private,51.0,2024-10-23
4,4,RENTAL & SIPP,,Fenchugonj 50 MW Rental (Energy Prima),"ENERGYPRIMA, FENCHUGONJ",Fenchuganj 15 Years RPP (Barakatullah),GAS,,,,,51.0,2009-10-24 00:00:00,Gas,Private,51.0,2024-10-23
5,112,RENTAL & SIPP,Private,Fenchugonj 51 MW Rental (15 Yrs) (Barakatullah),BARKATULLAH ELECTRO DYNAMICS LTD.,Fenchuganj 15 Years RPP (Barakatullah),GAS,GAS,51.0,51.0,Fenchuganj 15 Years RPP (Barakatullah),51.0,2009-10-24 00:00:00,Gas,Private,51.0,2024-10-23
6,112,RENTAL & SIPP,Private,Fenchugonj 51 MW Rental (15 Yrs) (Barakatullah),BARKATULLAH ELECTRO DYNAMICS LTD.,Fenchuganj 15 Years RPP (Barakatullah),GAS,GAS,51.0,51.0,Fenchuganj 15 Years RPP (Barakatullah),51.0,2009-10-24 00:00:00,Gas,Private,51.0,2024-10-23
7,5,RENTAL & SIPP,,Kumargao 10 MW Desh Combridge (15 Yrs),"DESH CAMBRIDGE, KUMERGOAN","Kumkargoan 50 MW PP (15 Years RPP)
( Desh Energy)",GAS,,10.0,10.0,,,2009-03-18 00:00:00,Gas,Private,10.0,2024-03-17
8,6,RENTAL & SIPP,Private,Amnura 50MW Sinha Power,AMNURA(SINHA POWER GENERATION),"Amnura, Chapainawabgonj Q.RPP
(Sinha Power )",HFO,HFO,50.0,50.0,,20.0,2012-01-13 00:00:00,HFO,Private,50.0,2022-01-12
9,8,RENTAL & SIPP,IPP,Shahjahanullah Power Gen Co. Ltd.,Shahjanullah Power Generation Co. Ltd.,Shajanullah Power Company,GAS,GAS,,25.0,Shajanullah Power Company,25.0,"11 January, 2013",Gas,IPP,25.0,
